geoid,ct,pop,households,grp_qtrs,inst,pop_u18,hisp,white,black,asian,other_race,multiracial,housing,occupied,vacant
36005022902,2022902,3401,3366,35,0,893,2499,48,747,35,29,43,1184,1130,54
36005023000,2023000,3001,2988,13,0,797,1627,549,371,262,43,149,1052,1010,42
36005023100,2023100,1464,1303,161,144,377,1011,11,423,2,10,7,440,428,12
36005023200,2023200,3000,3000,0,0,777,1460,695,325,317,43,160,987,915,72
36005023301,2023301,4577,4268,309,0,1080,3008,78,1310,36,75,70,1547,1487,60
36005023302,2023302,3574,3501,73,0,900,2901,43,544,19,46,21,1113,1075,38
36005023501,2023501,3570,3556,14,0,894,2915,33,517,14,38,53,1199,1166,33
36005023502,2023502,4417,4307,110,0,982,3339,47,836,94,58,43,1700,1603,97
36005023600,2023600,2204,2155,49,11,566,1146,497,251,133,33,144,713,683,30
36005023702,2023702,1179,1075,104,0,257,900,27,212,17,15,8,361,346,15
36005023703,2023703,5086,4767,319,0,1325,3807,141,992,52,46,48,1644,1589,55
36005023704,2023704,3970,3918,52,0,1098,2956,51,827,17,49,70,1372,1336,36
36005023800,2023800,2750,2741,9,0,701,1425,655,237,247,69,117,946,871,75
36005023900,2023900,8213,7761,452,0,2366,6331,86,1500,155,64,77,2641,2532,109
36005024000,2024000,4583,4524,59,0,1286,2839,392,914,203,128,107,1453,1359,94
36005024100,2024100,6331,6124,207,0,1673,4078,100,1936,49,76,92,2174,2061,113
36005024300,2024300,5577,5559,18,0,1298,3988,92,1266,68,77,86,2072,2004,68
36005024400,2024400,2407,2407,0,0,546,1051,879,113,274,24,66,925,861,64
36005024501,2024501,5059,4864,195,63,1276,3917,76,923,26,45,72,1677,1641,36
36005024502,2024502,3797,3790,7,0,994,2884,26,787,27,36,37,1239,1197,42
36005024600,2024600,2297,2297,0,0,492,870,863,171,313,24,56,867,818,49
36005024700,2024700,1921,1905,16,0,450,923,53,866,40,17,22,765,747,18
36005024800,2024800,3620,3284,336,297,682,1210,1508,302,488,28,84,1324,1258,66
36005024900,2024900,4,4,0,0,3,0,0,0,0,0,4,2,2,0
