ed,hochul,zeldin,gov_votes,voters_nov22
49047,69.0,89.0,160.0,603.0
49048,13.0,56.0,69.0,221.0
49049,33.0,63.0,97.0,362.0
49050,124.0,185.0,316.0,940.0
49051,50.0,204.0,256.0,573.0
49052,0.0,0.0,0.0,
50001,691.0,79.0,777.0,1467.0
50002,510.0,71.0,588.0,1365.0
50003,535.0,70.0,616.0,1305.0
50004,599.0,83.0,686.0,1389.0
50005,600.0,90.0,695.0,1429.0
50006,495.0,103.0,604.0,1225.0
50007,486.0,60.0,548.0,1105.0
50008,557.0,108.0,670.0,1222.0
50009,0.0,0.0,0.0,7.0
50010,260.0,44.0,306.0,685.0
50011,405.0,83.0,490.0,966.0
50012,388.0,51.0,442.0,771.0
50013,434.0,74.0,514.0,1092.0
50014,550.0,107.0,667.0,1296.0
50015,486.0,84.0,578.0,1103.0
50016,553.0,167.0,725.0,1360.0
50017,597.0,169.0,779.0,1427.0
50018,478.0,112.0,593.0,1158.0
50019,508.0,183.0,698.0,1451.0
50020,603.0,111.0,723.0,1348.0
50021,507.0,119.0,630.0,1266.0
50022,531.0,45.0,587.0,1085.0
50023,523.0,54.0,581.0,1118.0
50024,635.0,49.0,689.0,1330.0
50025,567.0,82.0,655.0,1316.0
50026,699.0,77.0,781.0,1482.0
50027,593.0,93.0,690.0,1349.0
50028,529.0,74.0,609.0,1343.0
50029,525.0,89.0,618.0,1310.0
50030,526.0,60.0,590.0,1113.0
50031,264.0,28.0,292.0,612.0
50032,417.0,215.0,638.0,1232.0
50033,298.0,356.0,657.0,1215.0
50034,236.0,303.0,552.0,1419.0
50035,129.0,352.0,490.0,1357.0
50036,218.0,452.0,678.0,1753.0
50037,81.0,341.0,430.0,985.0
50038,207.0,239.0,462.0,1291.0
50039,66.0,396.0,468.0,958.0
50040,98.0,424.0,531.0,1335.0
50041,161.0,333.0,500.0,1308.0
50042,81.0,403.0,493.0,1174.0
50043,56.0,439.0,502.0,1046.0
50044,109.0,588.0,702.0,1259.0
50045,87.0,605.0,699.0,1327.0
50046,110.0,704.0,823.0,1388.0
50047,54.0,532.0,592.0,1207.0
50048,69.0,599.0,671.0,1174.0
50049,60.0,447.0,515.0,996.0
50050,380.0,183.0,570.0,1335.0
50051,441.0,45.0,497.0,1182.0
50052,443.0,51.0,503.0,1343.0
50053,435.0,46.0,487.0,1124.0
50054,269.0,18.0,289.0,689.0
50055,160.0,22.0,183.0,425.0
50056,582.0,59.0,646.0,1339.0
50057,609.0,59.0,679.0,1424.0
50058,481.0,94.0,584.0,1242.0
50059,498.0,86.0,587.0,1269.0
50060,420.0,127.0,552.0,1028.0
50061,635.0,77.0,716.0,1256.0
50062,488.0,76.0,570.0,1019.0
50063,485.0,89.0,581.0,1188.0
50064,2.0,0.0,2.0,12.0
50065,285.0,33.0,320.0,701.0
50066,0.0,0.0,0.0,
51001,546.0,328.0,885.0,1853.0
51002,191.0,102.0,300.0,1000.0
51003,192.0,188.0,386.0,885.0
51004,152.0,167.0,320.0,703.0
51005,94.0,66.0,163.0,631.0
51006,218.0,83.0,302.0,1278.0
51007,247.0,128.0,379.0,1573.0
51008,271.0,102.0,376.0,1539.0
51009,185.0,116.0,306.0,1298.0
51010,125.0,91.0,217.0,928.0
51011,261.0,103.0,374.0,1443.0
51012,130.0,94.0,229.0,1211.0
51013,249.0,79.0,335.0,1350.0
51014,242.0,99.0,348.0,1269.0
51015,255.0,99.0,359.0,1392.0
51016,232.0,126.0,361.0,1623.0
51017,272.0,80.0,355.0,1315.0
51018,414.0,96.0,519.0,1400.0
51019,330.0,86.0,420.0,1431.0
51020,285.0,64.0,352.0,1182.0
51021,512.0,103.0,624.0,1559.0
51022,593.0,81.0,680.0,1528.0
51023,336.0,33.0,373.0,1049.0
51024,546.0,66.0,617.0,1280.0
51025,430.0,31.0,462.0,743.0
51026,594.0,40.0,637.0,1183.0
51027,185.0,17.0,203.0,321.0
51028,666.0,54.0,726.0,1342.0
51029,540.0,76.0,627.0,1045.0
51030,189.0,9.0,200.0,259.0
51031,0.0,0.0,0.0,93.0
51032,116.0,18.0,134.0,236.0
51033,508.0,43.0,553.0,1005.0
51034,276.0,24.0,304.0,1277.0
51035,227.0,37.0,269.0,1034.0
51036,335.0,30.0,369.0,1188.0
51037,215.0,31.0,253.0,1181.0
51038,228.0,27.0,259.0,1017.0
51039,0.0,0.0,0.0,11.0
51040,496.0,69.0,572.0,1142.0
51041,671.0,71.0,755.0,1464.0
51042,643.0,64.0,719.0,1314.0
51043,1.0,3.0,4.0,53.0
51044,499.0,111.0,616.0,1522.0
51045,330.0,103.0,442.0,1387.0
51046,206.0,95.0,307.0,1257.0
51047,209.0,124.0,342.0,1339.0
51048,158.0,153.0,315.0,1267.0
51049,125.0,75.0,203.0,886.0
51050,82.0,150.0,236.0,688.0
51051,69.0,207.0,278.0,682.0
51052,244.0,186.0,436.0,1682.0
51053,115.0,322.0,441.0,1158.0
51054,2.0,1.0,3.0,28.0
51055,3.0,0.0,3.0,16.0
51056,6.0,0.0,6.0,69.0
51057,0.0,0.0,0.0,1.0
51058,0.0,0.0,0.0,
51059,0.0,0.0,0.0,
51060,0.0,0.0,0.0,
51061,0.0,0.0,0.0,
52001,46.0,435.0,489.0,864.0
52002,431.0,32.0,471.0,1290.0
52003,99.0,3.0,103.0,246.0
52004,2.0,0.0,2.0,13.0
52005,356.0,34.0,390.0,762.0
52006,546.0,91.0,643.0,1149.0
52007,458.0,52.0,515.0,933.0
52008,402.0,48.0,454.0,800.0
52009,792.0,116.0,921.0,1439.0
52010,741.0,93.0,843.0,1240.0
52011,511.0,35.0,550.0,1082.0
52012,458.0,54.0,515.0,941.0
52013,127.0,12.0,140.0,235.0
52014,583.0,82.0,673.0,1006.0
52015,588.0,79.0,680.0,1385.0
52016,812.0,98.0,921.0,1398.0
52017,783.0,97.0,897.0,1463.0
52018,710.0,86.0,812.0,1137.0
52019,727.0,55.0,791.0,1390.0
52020,756.0,76.0,841.0,1241.0
52021,801.0,92.0,903.0,1509.0
52022,907.0,104.0,1029.0,1596.0
52023,245.0,25.0,275.0,497.0
52024,710.0,100.0,822.0,1387.0
52025,820.0,82.0,916.0,1490.0
52026,893.0,92.0,990.0,1643.0
52027,0.0,0.0,0.0,1.0
52028,513.0,36.0,554.0,924.0
52029,596.0,26.0,624.0,1182.0
52030,468.0,43.0,514.0,971.0
52031,797.0,74.0,877.0,1399.0
52032,621.0,61.0,690.0,1094.0
52033,243.0,17.0,265.0,417.0
52034,558.0,43.0,602.0,1085.0
52035,750.0,97.0,860.0,1377.0
52036,626.0,53.0,682.0,1066.0
52037,544.0,47.0,598.0,1011.0
52038,150.0,13.0,165.0,278.0
52039,668.0,70.0,745.0,1205.0
52040,648.0,34.0,694.0,1248.0
52041,606.0,34.0,654.0,1094.0
52042,686.0,48.0,744.0,1380.0
52043,687.0,84.0,778.0,1237.0
52044,441.0,68.0,518.0,908.0
52045,584.0,55.0,645.0,1209.0
52046,715.0,56.0,781.0,1151.0
52047,799.0,90.0,909.0,1414.0
52048,854.0,135.0,1002.0,1576.0
52049,625.0,82.0,713.0,1114.0
52050,537.0,105.0,647.0,1004.0
52051,244.0,35.0,282.0,510.0
52052,543.0,40.0,589.0,985.0
52053,567.0,23.0,598.0,971.0
52054,577.0,68.0,656.0,1110.0
52055,208.0,27.0,237.0,1145.0
52056,181.0,20.0,209.0,1025.0
52057,506.0,32.0,547.0,1005.0
52058,392.0,21.0,417.0,931.0
52059,217.0,28.0,248.0,1050.0
52060,563.0,42.0,615.0,1327.0
52061,830.0,110.0,951.0,1621.0
52062,430.0,60.0,498.0,959.0
52063,750.0,84.0,842.0,1487.0
52064,548.0,47.0,600.0,1133.0
52065,677.0,44.0,725.0,1128.0
52066,748.0,39.0,790.0,1215.0
52067,642.0,54.0,703.0,1071.0
52068,664.0,54.0,729.0,1146.0
52069,769.0,49.0,829.0,1373.0
52070,191.0,12.0,204.0,344.0
52071,545.0,29.0,578.0,1179.0
52072,330.0,15.0,347.0,589.0
52073,586.0,37.0,633.0,1193.0
52074,41.0,5.0,46.0,78.0
52075,617.0,24.0,651.0,1118.0
52076,575.0,23.0,603.0,960.0
52077,812.0,34.0,855.0,1220.0
52078,294.0,11.0,309.0,415.0
52079,780.0,37.0,828.0,1408.0
52080,828.0,60.0,899.0,1310.0
52081,847.0,50.0,905.0,1318.0
52082,857.0,74.0,937.0,1395.0
52083,930.0,89.0,1036.0,1483.0
52084,979.0,46.0,1040.0,1572.0
52085,855.0,44.0,907.0,1310.0
52086,486.0,29.0,517.0,901.0
