ct,tot_,moe_,tot_asian_indian,moe_asian_indian,tot_bangladeshi,moe_bangladeshi,tot_bhutanese,moe_bhutanese,tot_burmese,moe_burmese,tot_cambodian,moe_cambodian,"tot_chinese,_except_taiwanese","moe_chinese,_except_taiwanese",tot_filipino,moe_filipino,tot_hmong,moe_hmong,tot_indonesian,moe_indonesian,tot_japanese,moe_japanese,tot_korean,moe_korean,tot_laotian,moe_laotian,tot_malaysian,moe_malaysian,tot_mongolian,moe_mongolian,tot_nepalese,moe_nepalese,tot_okinawan,moe_okinawan,tot_pakistani,moe_pakistani,tot_sri_lankan,moe_sri_lankan,tot_taiwanese,moe_taiwanese,tot_thai,moe_thai,tot_vietnamese,moe_vietnamese,"tot_other_asian,_specified","moe_other_asian,_specified","tot_other_asian,_not_specified","moe_other_asian,_not_specified"
36061013203,295,269,0,13,0,13,0,13,0,13,0,13,126,156,28,51,0,13,0,13,0,13,141,209,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061013300,2082,827,425,396,0,18,0,18,0,18,0,18,806,365,142,102,0,18,0,18,16,28,200,118,0,18,0,18,0,18,0,18,0,18,270,384,0,18,13,21,0,18,72,79,0,18,138,218
36061013400,1213,545,853,573,0,20,0,20,0,20,0,20,117,120,51,83,0,20,0,20,0,20,75,88,0,20,0,20,0,20,0,20,0,20,0,20,0,20,53,73,64,107,0,20,0,20,0,20
36061013501,881,392,101,125,0,13,0,13,0,13,0,13,535,334,50,65,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,76,126,0,13,28,44,0,13,39,66,0,13,52,50
36061013502,1201,513,189,250,0,18,0,18,0,18,0,18,578,364,208,285,0,18,0,18,114,138,63,69,0,18,0,18,0,18,0,18,0,18,0,18,0,18,49,55,0,18,0,18,0,18,0,18
36061013601,35,61,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,35,61,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061013602,790,524,596,509,0,18,0,18,0,18,0,18,152,158,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,42,70,0,18,0,18,0,18,0,18,0,18,0,18
36061013603,161,230,0,13,0,13,0,13,0,13,0,13,0,13,161,230,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061013604,212,149,42,53,0,13,0,13,0,13,0,13,121,109,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,49,82,0,13,0,13
36061013700,1099,525,238,136,0,18,0,18,0,18,0,18,70,61,151,152,0,18,0,18,0,18,344,448,0,18,0,18,0,18,0,18,0,18,87,155,0,18,184,262,0,18,0,18,0,18,25,42
36061013800,1243,645,508,383,0,20,0,20,36,59,0,20,290,219,68,83,0,20,0,20,0,20,341,484,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20
36061013900,1813,576,387,380,0,20,0,20,0,20,0,20,947,398,57,100,0,20,0,20,75,87,140,166,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,207,187
36061014000,579,265,155,137,33,49,0,18,0,18,0,18,84,56,18,28,0,18,0,18,14,22,142,172,0,18,0,18,0,18,0,18,0,18,16,25,0,18,106,131,0,18,0,18,0,18,11,20
36061014200,418,248,206,155,0,13,0,13,0,13,0,13,141,187,0,13,0,13,0,13,59,67,12,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061014300,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36061014401,592,407,115,100,0,13,0,13,0,13,0,13,86,98,16,27,0,13,0,13,0,13,325,396,0,13,0,13,0,13,0,13,0,13,50,79,0,13,0,13,0,13,0,13,0,13,0,13
36061014402,912,328,215,137,0,18,0,18,0,18,0,18,108,107,168,170,0,18,0,18,67,66,199,161,0,18,0,18,0,18,0,18,0,18,23,32,0,18,18,27,0,18,114,112,0,18,0,18
36061014500,1595,595,173,156,0,18,0,18,0,18,0,18,504,275,59,72,0,18,0,18,604,538,131,104,0,18,0,18,0,18,0,18,0,18,42,67,0,18,46,69,10,24,0,18,0,18,26,30
36061014601,557,215,103,78,0,13,0,13,0,13,0,13,103,74,36,32,0,13,0,13,187,158,71,71,0,13,0,13,0,13,0,13,0,13,37,56,0,13,20,32,0,13,0,13,0,13,0,13
36061014602,888,510,492,449,0,18,0,18,0,18,0,18,160,166,87,98,0,18,0,18,26,44,23,36,0,18,55,88,0,18,0,18,0,18,0,18,0,18,0,18,0,18,45,73,0,18,0,18
36061014700,967,377,101,66,0,13,0,13,0,13,0,13,452,202,59,46,0,13,0,13,54,45,135,194,0,13,0,13,0,13,0,13,0,13,71,83,0,13,28,44,0,13,49,46,18,27,0,13
