ct,cd,pop,pop_u18,hisp,white,black,asian,other_race,multiracial,nta
36085010500,49,5597,1352,2002,1952,914,526,63,140,West New Brighton-Silver Lake-Grymes Hill
36085011201,50,5768,1106,663,3755,75,1125,72,78,New Dorp-Midland Beach
36085011203,50,6791,1399,1067,4132,113,1299,46,134,New Dorp-Midland Beach
36085011204,50,46,12,8,19,5,7,6,1,Miller Field
36085011401,50,3249,655,757,1458,470,419,48,97,Grasmere-Arrochar-South Beach-Dongan Hills
36085011402,50,3738,682,526,2450,73,603,27,59,New Dorp-Midland Beach
36085012100,49,3212,639,384,2539,31,156,15,87,West New Brighton-Silver Lake-Grymes Hill
36085012200,50,3938,707,446,3055,30,313,32,62,New Dorp-Midland Beach
36085012500,49,3087,794,1119,1120,410,329,27,82,West New Brighton-Silver Lake-Grymes Hill
36085012804,50,4644,979,804,2882,81,761,32,84,New Dorp-Midland Beach
36085012805,50,2390,431,215,1757,22,337,25,34,Oakwood-Richmondtown
36085012806,50,6659,1385,1015,4130,475,835,50,154,Oakwood-Richmondtown
36085013201,50,1659,341,122,1325,31,147,11,23,Oakwood-Richmondtown
36085013203,51,5790,1093,559,4536,28,524,35,108,Great Kills-Eltingville
36085013204,51,5055,937,583,3803,27,508,18,116,Oakwood-Richmondtown
36085013301,49,1631,584,637,90,768,41,24,71,West New Brighton-Silver Lake-Grymes Hill
36085013302,49,3733,1054,1927,376,1075,213,59,83,Port Richmond
36085013400,50,4204,840,715,2875,60,406,41,107,New Dorp-Midland Beach
36085013800,50,6625,1259,588,5307,26,539,33,132,Oakwood-Richmondtown
36085014100,49,2868,684,1139,827,382,367,57,96,Port Richmond
36085014604,51,6651,1239,673,5287,52,513,18,108,Great Kills-Eltingville
36085014605,51,3785,678,309,3165,15,222,8,66,Great Kills-Eltingville
36085014606,50,6288,1112,740,5039,49,303,30,127,Great Kills-Eltingville
36085014607,51,4650,1065,486,3591,30,464,17,62,Great Kills-Eltingville
36085014608,51,3640,723,359,2856,6,344,18,57,Great Kills-Eltingville
36085014700,49,3451,626,441,2631,79,179,24,97,Westerleigh-Castleton Corners
