ct,cd,pop,pop_u18,hisp,white,black,asian,other_race,multiracial,nta
36005023301,14,4577,1080,3008,78,1310,36,75,70,Mount Hope
36005023302,15,3574,900,2901,43,544,19,46,21,Mount Hope
36005023501,14,3570,894,2915,33,517,14,38,53,Mount Hope
36005023502,15,4417,982,3339,47,836,94,58,43,Mount Hope
36005023600,13,2204,566,1146,497,251,133,33,144,Pelham Parkway-Van Nest
36005023702,15,1179,257,900,27,212,17,15,8,Fordham Heights
36005023703,14,5086,1325,3807,141,992,52,46,48,Fordham Heights
36005023704,14,3970,1098,2956,51,827,17,49,70,Fordham Heights
36005023800,13,2750,701,1425,655,237,247,69,117,Pelham Parkway-Van Nest
36005023900,14,8213,2366,6331,86,1500,155,64,77,Fordham Heights
36005024000,13,4583,1286,2839,392,914,203,128,107,Pelham Parkway-Van Nest
36005024100,14,6331,1673,4078,100,1936,49,76,92,Mount Hope
36005024300,14,5577,1298,3988,92,1266,68,77,86,University Heights (South)-Morris Heights
36005024400,13,2407,546,1051,879,113,274,24,66,Morris Park
36005024501,14,5059,1276,3917,76,923,26,45,72,University Heights (South)-Morris Heights
36005024502,14,3797,994,2884,26,787,27,36,37,University Heights (South)-Morris Heights
36005024600,13,2297,492,870,863,171,313,24,56,Morris Park
36005024700,16,1921,450,923,53,866,40,17,22,University Heights (South)-Morris Heights
36005024800,13,3620,682,1210,1508,302,488,28,84,Morris Park
36005024900,14,4,3,0,0,0,0,0,4,University Heights (South)-Morris Heights
36005025000,13,2672,515,775,1397,48,374,19,59,Morris Park
36005025100,14,6924,1756,4714,99,1408,571,45,87,University Heights (South)-Morris Heights
36005025200,13,2682,579,896,1130,196,371,44,45,Morris Park
36005025300,14,6234,1556,4756,100,1001,204,88,85,University Heights (North)-Fordham
36005025400,13,2163,425,749,1018,79,213,60,44,Morris Park
36005025500,14,8092,1707,5871,544,1245,274,67,91,University Heights (North)-Fordham
36005025600,13,1908,363,922,466,241,193,42,44,Morris Park
36005025700,14,1809,359,1421,47,283,16,22,20,University Heights (North)-Fordham
36005026100,14,2060,253,830,140,937,79,20,54,University Heights (North)-Fordham
36005026300,14,6788,1412,5440,283,748,124,88,105,University Heights (North)-Fordham
36005026400,13,5693,1127,2586,1965,404,561,56,121,Throgs Neck-Schuylerville
36005026500,14,7166,1763,5590,212,753,455,86,70,University Heights (North)-Fordham
36005026601,13,3328,613,1701,1096,235,225,23,48,Pelham Bay-Country Club-City Island
36005026602,13,6409,1354,3425,1858,505,448,56,117,Pelham Bay-Country Club-City Island
36005026701,14,3983,1026,2917,161,316,507,35,47,Kingsbridge Heights-Van Cortlandt Village
36005026702,14,7022,1665,5627,287,842,102,102,62,Kingsbridge Heights-Van Cortlandt Village
36005026900,14,4126,889,3089,156,709,89,38,45,University Heights (North)-Fordham
36005027300,14,7939,1809,6083,523,1037,104,79,113,Kingsbridge Heights-Van Cortlandt Village
36005027401,13,5136,1017,1538,3067,124,241,58,108,Pelham Bay-Country Club-City Island
36005027402,13,3553,582,894,2390,94,113,21,41,Pelham Bay-Country Club-City Island
36005027600,13,23,7,10,5,5,3,0,0,Pelham Bay Park
36005027700,14,4968,1099,3786,399,553,114,53,63,Kingsbridge Heights-Van Cortlandt Village
36005027900,11,8145,1696,5246,1280,988,340,98,193,Kingsbridge Heights-Van Cortlandt Village
36005028100,11,3720,503,1846,1091,548,120,29,86,Kingsbridge Heights-Van Cortlandt Village
36005028300,11,2084,478,1432,141,386,45,45,35,Kingsbridge-Marble Hill
36005028400,13,297,44,113,56,93,3,25,7,Hutchinson Metro Center
36005028500,11,3440,571,1482,1384,221,222,33,98,Kingsbridge-Marble Hill
36005028600,13,1395,321,445,619,66,206,32,27,Morris Park
36005028700,11,3953,973,2510,670,320,328,46,79,Kingsbridge-Marble Hill
36005028800,13,3055,510,614,1833,92,441,45,30,Morris Park
36005028900,11,4736,978,3325,819,287,198,31,76,Kingsbridge-Marble Hill
36005029301,11,1954,196,392,1265,97,96,9,95,Riverdale-Spuyten Duyvil
36005029302,11,5248,765,1136,3034,534,300,68,176,Riverdale-Spuyten Duyvil
36005029500,11,4615,896,1433,2238,342,356,57,189,Riverdale-Spuyten Duyvil
36005029600,13,2878,353,782,936,367,667,43,83,Morris Park
36005029700,11,4005,737,922,2337,246,313,54,133,Riverdale-Spuyten Duyvil
36005030000,13,6591,1336,3214,2062,492,580,93,150,Pelham Bay-Country Club-City Island
36005030100,11,1627,239,455,823,174,109,23,43,Riverdale-Spuyten Duyvil
36005030201,12,4048,650,1032,212,2601,49,49,105,Co-op City
36005030202,12,6063,977,1464,208,4116,71,42,162,Co-op City
36005030701,11,5799,1215,1026,3998,325,224,70,156,Riverdale-Spuyten Duyvil
36005030900,11,3947,590,707,2628,329,141,69,73,Riverdale-Spuyten Duyvil
36005031000,13,4372,737,1612,1212,729,636,50,133,Pelham Gardens
36005031200,13,1555,284,555,483,241,213,39,24,Pelham Gardens
36005031400,13,2071,399,757,625,263,333,27,66,Pelham Gardens
36005031600,13,2071,419,675,672,291,354,43,36,Pelham Gardens
36005031800,13,1961,341,702,587,295,286,41,50,Pelham Gardens
36005031900,11,454,13,136,206,66,17,24,5,Riverdale-Spuyten Duyvil
36005032300,11,5001,673,1249,2737,538,262,60,155,Riverdale-Spuyten Duyvil
36005032400,13,3113,718,1531,439,847,149,46,101,Allerton
36005032600,13,3494,670,1101,1099,452,710,50,82,Pelham Gardens
36005032800,13,4133,1033,2150,727,794,314,31,117,Allerton
36005033000,13,5837,1375,2672,1671,980,344,75,95,Allerton
36005033201,15,4103,838,2565,628,691,106,46,67,Allerton
36005033202,15,4204,799,2324,460,1130,167,45,78,Allerton
36005033400,15,69,18,30,6,31,0,1,1,Bronx Park
36005033500,11,2440,444,477,1578,153,120,25,87,Riverdale-Spuyten Duyvil
36005033601,12,4306,971,2182,116,1743,96,72,97,Allerton
36005033602,12,1555,344,747,92,670,8,15,23,Williamsbridge-Olinville
36005033700,11,3838,730,747,2094,159,561,70,207,Riverdale-Spuyten Duyvil
36005033801,12,2337,596,1068,168,860,145,51,45,Allerton
36005033802,12,1737,442,698,78,817,64,31,49,Williamsbridge-Olinville
36005034000,12,4858,1103,2305,422,1647,274,68,142,Allerton
36005034200,12,1732,377,635,103,826,93,35,40,Allerton
36005034300,11,1706,343,719,605,212,92,25,53,Riverdale-Spuyten Duyvil
36005034400,12,1930,420,736,96,870,162,23,43,Pelham Gardens
36005034500,11,3754,635,1267,1443,564,299,58,123,Riverdale-Spuyten Duyvil
36005034800,12,6640,1543,2577,274,3263,277,108,141,Pelham Gardens
36005035000,12,2284,550,620,109,1227,195,50,83,Pelham Gardens
36005035100,11,3539,522,1174,1680,335,202,27,121,Riverdale-Spuyten Duyvil
36005035600,12,2261,457,522,79,1482,72,36,70,Eastchester-Edenwald-Baychester
36005035800,12,7542,1562,1527,98,5478,131,114,194,Eastchester-Edenwald-Baychester
36005035900,15,3731,1014,2333,59,1178,83,41,37,West Farms
36005036000,13,3024,561,955,341,1320,233,59,116,Pelham Gardens
36005036100,15,5569,1261,4055,42,1259,58,40,115,West Farms
36005036300,15,7074,1877,5051,91,1761,27,59,85,West Farms
36005036400,12,2603,528,463,33,1974,54,19,60,Eastchester-Edenwald-Baychester
36005036501,15,3897,1055,2085,26,1683,13,38,52,Tremont
36005036502,15,2449,657,1623,52,672,22,44,36,Tremont
36005036700,15,2672,847,1605,72,887,26,53,29,Tremont
36005036800,12,2165,553,565,29,1435,47,46,43,Williamsbridge-Olinville
36005036901,15,1910,512,1405,27,423,10,27,18,Tremont
36005036902,15,2324,625,1320,52,870,7,15,60,Tremont
36005037000,12,2536,564,727,50,1535,114,38,72,Williamsbridge-Olinville
36005037100,15,4504,1048,2846,68,1476,10,38,66,Tremont
36005037200,12,2289,514,826,67,1193,78,59,66,Williamsbridge-Olinville
36005037300,15,6117,1752,3904,109,1880,43,56,125,Tremont
36005037400,12,3890,1056,1755,92,1828,61,35,119,Williamsbridge-Olinville
36005037504,15,4023,1058,2485,112,1308,20,35,63,Tremont
36005037600,12,2274,476,989,124,962,100,42,57,Williamsbridge-Olinville
36005037800,12,3569,850,1330,120,1930,32,55,102,Williamsbridge-Olinville
36005037900,15,6878,2207,3319,122,3171,42,104,120,Mount Hope
36005038000,12,4938,1153,1248,110,3305,109,59,107,Williamsbridge-Olinville
36005038100,15,6853,1757,5093,112,1430,82,79,57,Mount Hope
36005038200,12,2852,662,618,47,2049,20,30,88,Williamsbridge-Olinville
36005038301,15,4635,1127,3344,82,1051,66,41,51,Fordham Heights
36005038303,15,3468,908,1820,36,1479,13,40,80,Fordham Heights
36005038304,15,2508,804,1684,61,704,13,11,35,Belmont
36005038500,15,5362,1607,3312,124,1706,30,70,120,Belmont
36005038600,12,7949,1931,1246,77,6266,73,86,201,Eastchester-Edenwald-Baychester
36005038700,15,3401,897,2111,355,765,88,25,57,Belmont
36005038800,12,2941,736,651,48,2127,18,23,74,Williamsbridge-Olinville
36005038900,15,4819,1184,2943,913,650,151,53,109,Belmont
36005039000,12,3323,832,857,54,2238,65,45,64,Williamsbridge-Olinville
36005039100,15,7210,1955,5414,560,986,105,73,72,Belmont
36005039200,12,1809,405,557,37,1124,14,20,57,Williamsbridge-Olinville
36005039300,15,8033,2212,5230,261,2307,33,86,116,Belmont
36005039400,12,4647,1098,1655,151,2606,64,83,88,Williamsbridge-Olinville
36005039500,15,4254,1088,2629,81,1419,30,48,47,Tremont
36005039600,12,4485,1092,1177,58,2999,80,51,120,Williamsbridge-Olinville
36005039700,15,4492,274,1143,2458,325,318,49,199,Belmont
36005039800,12,3347,815,575,55,2573,20,35,89,Williamsbridge-Olinville
36005039901,15,5254,1275,3664,160,959,302,82,87,University Heights (North)-Fordham
36005039902,15,5548,1545,4081,100,1039,136,123,69,Fordham Heights
36005040100,14,5009,1293,3873,158,713,118,52,95,University Heights (North)-Fordham
36005040302,15,4197,1089,3453,75,402,154,61,52,Bedford Park
36005040303,14,4843,1105,3747,132,702,121,65,76,Bedford Park
36005040304,14,4125,1049,3137,108,517,273,41,49,Bedford Park
36005040400,12,3530,792,775,39,2549,34,46,87,Williamsbridge-Olinville
36005040501,15,4385,1115,3274,111,813,62,64,61,Bedford Park
36005040502,15,7320,1870,4866,175,1870,167,130,112,Bedford Park
36005040600,12,3792,873,1018,61,2391,93,76,153,Williamsbridge-Olinville
36005040701,14,3235,717,2465,204,396,91,39,40,Bedford Park
36005040702,15,6968,1427,4820,514,962,461,114,97,Bedford Park
36005040800,12,4475,1151,1931,110,2078,166,67,123,Williamsbridge-Olinville
36005040900,11,3580,649,744,420,2110,217,45,44,Bedford Park
36005041100,11,3215,753,2302,234,513,102,28,36,Bedford Park
36005041300,11,7781,1778,5257,857,1164,289,74,140,Bedford Park
36005041400,11,5342,1070,1474,200,2862,280,289,237,Wakefield-Woodlawn
36005041500,11,5872,1296,3789,631,861,388,102,101,Bedford Park
36005041800,11,3752,750,1250,165,1792,207,198,140,Wakefield-Woodlawn
36005041900,11,7205,1766,4605,566,877,963,101,93,Norwood
36005042000,11,3905,957,1708,98,1771,129,112,87,Wakefield-Woodlawn
36005042100,11,6135,1413,3776,468,812,864,104,111,Norwood
36005042200,11,3211,677,764,83,2148,65,63,88,Wakefield-Woodlawn
36005042300,11,4179,1204,2614,431,558,442,68,66,Norwood
36005042400,12,2553,511,517,78,1795,52,40,71,Wakefield-Woodlawn
36005042500,11,7667,2101,4496,691,827,1447,81,125,Norwood
36005042600,12,6982,1455,1017,91,5548,86,93,147,Eastchester-Edenwald-Baychester
36005042800,12,2230,460,359,37,1655,29,56,94,Wakefield-Woodlawn
36005042901,11,3711,944,2160,244,540,675,36,56,Norwood
36005042902,11,4334,1011,2576,257,1011,356,61,73,Norwood
36005043000,11,2952,581,565,69,2008,95,115,100,Wakefield-Woodlawn
36005043101,11,5185,1310,2812,236,869,1070,131,67,Norwood
36005043102,11,5050,1061,3531,200,943,232,60,84,Norwood
36005043400,11,3649,807,898,179,2059,159,192,162,Wakefield-Woodlawn
36005043501,11,1192,409,470,13,624,29,17,39,Williamsbridge-Olinville
36005043502,11,2,1,0,0,1,0,1,0,Woodlawn Cemetery
36005043503,11,122,11,45,29,35,4,1,8,Van Cortlandt Park
36005043600,11,2061,424,395,56,1373,78,58,101,Wakefield-Woodlawn
36005044200,11,3877,886,929,51,2570,95,86,146,Wakefield-Woodlawn
36005044400,12,3984,830,583,100,3047,55,109,90,Wakefield-Woodlawn
36005044800,12,2007,376,268,30,1581,35,36,57,Wakefield-Woodlawn
36005044901,11,1946,363,368,1348,132,30,15,53,Wakefield-Woodlawn
36005044902,11,2229,356,486,1499,157,33,13,41,Wakefield-Woodlawn
36005045101,11,1817,264,318,1229,146,72,4,48,Wakefield-Woodlawn
36005045102,11,2142,398,381,1450,162,48,35,66,Wakefield-Woodlawn
36005045600,13,3056,614,702,435,1693,48,67,111,Eastchester-Edenwald-Baychester
36005045800,12,5662,1646,3275,44,2181,30,34,98,Eastchester-Edenwald-Baychester
36005046000,12,2890,588,842,42,1861,22,49,74,Eastchester-Edenwald-Baychester
36005046203,12,6599,833,2180,415,3669,109,55,171,Co-op City
36005046204,12,5552,837,1543,326,3399,68,59,157,Co-op City
36005046205,12,4445,648,1335,235,2658,38,37,142,Co-op City
36005046206,12,4434,729,1002,194,3011,72,46,109,Co-op City
36005046207,12,6228,906,1665,340,3935,83,52,153,Co-op City
36005046208,12,5155,994,1192,122,3591,65,60,125,Eastchester-Edenwald-Baychester
36005046209,12,3707,970,1384,19,2137,31,49,87,Eastchester-Edenwald-Baychester
36005048401,12,3888,839,802,65,2830,44,43,104,Eastchester-Edenwald-Baychester
36005048402,12,41,9,14,0,20,0,0,7,Eastchester-Edenwald-Baychester
36005050400,13,5,3,2,0,0,0,0,3,Pelham Bay Park
36005051601,13,4445,696,1139,2735,210,200,32,129,Pelham Bay-Country Club-City Island
36005051602,13,0,0,0,0,0,0,0,0,Hart Island
36047000100,33,4616,744,412,3180,295,448,33,248,Brooklyn Heights
36047000200,38,1205,286,957,99,57,55,12,25,Sunset Park (West)
36047000301,33,3850,657,238,3127,90,209,15,171,Brooklyn Heights
36047000501,33,4404,513,310,3329,107,433,28,197,Brooklyn Heights
36047000502,33,2640,306,177,2057,75,201,8,122,Brooklyn Heights
36047000700,33,4415,853,390,3188,131,378,28,300,Brooklyn Heights
36047000900,33,5167,777,434,3565,188,613,49,318,Brooklyn Heights
36047001100,33,1578,156,178,772,163,375,5,85,Downtown Brooklyn-DUMBO-Boerum Hill
36047001300,33,2465,248,276,1171,232,569,36,181,Downtown Brooklyn-DUMBO-Boerum Hill
36047001501,35,5161,898,997,1293,1279,1341,57,194,Downtown Brooklyn-DUMBO-Boerum Hill
36047001502,33,5801,593,608,2335,687,1804,46,321,Downtown Brooklyn-DUMBO-Boerum Hill
36047001801,38,2563,0,734,898,874,21,1,35,Sunset Park (West)
36047001802,38,6,3,3,0,0,1,0,2,Sunset Park (West)
36047001803,38,16,4,5,5,0,4,1,1,Sunset Park (West)
36047001804,38,0,0,0,0,0,0,0,0,Sunset Park (West)
36047002000,38,1694,405,1285,140,145,97,16,11,Sunset Park (West)
36047002100,33,5975,1241,541,4113,220,638,61,402,Downtown Brooklyn-DUMBO-Boerum Hill
36047002200,38,4589,978,2813,761,193,682,75,65,Sunset Park (West)
36047002300,35,3940,889,1128,69,1926,676,40,101,Downtown Brooklyn-DUMBO-Boerum Hill
36047002901,35,3149,697,886,103,1433,590,41,96,Fort Greene
36047003000,47,1811,349,380,966,30,336,29,70,Bay Ridge
36047003101,35,3395,330,382,1176,830,743,32,232,Fort Greene
36047003102,35,0,0,0,0,0,0,0,0,Fort Greene
36047003300,35,4807,699,652,2258,828,702,57,310,Fort Greene
36047003400,47,3489,732,543,2081,79,653,20,113,Bay Ridge
36047003500,35,2402,310,260,1066,631,259,29,157,Fort Greene
36047003600,47,3959,662,660,2404,104,653,21,117,Bay Ridge
36047003700,33,4565,528,453,2240,478,1083,58,253,Downtown Brooklyn-DUMBO-Boerum Hill
36047003800,47,1529,284,165,1054,16,203,17,74,Bay Ridge
36047003900,33,2644,382,380,1419,351,273,33,188,Downtown Brooklyn-DUMBO-Boerum Hill
36047004100,33,3398,500,387,2184,290,318,20,199,Downtown Brooklyn-DUMBO-Boerum Hill
36047004300,33,3810,645,453,2428,233,424,31,241,Downtown Brooklyn-DUMBO-Boerum Hill
36047004400,47,2448,479,209,1938,20,213,10,58,Bay Ridge
36047004500,39,3476,592,263,2674,54,268,28,189,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047004600,47,1154,239,110,892,8,100,6,38,Bay Ridge
36047004700,39,1951,482,352,1143,191,124,19,122,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047004900,39,2412,482,312,1604,173,167,32,124,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047005000,47,2535,473,298,1915,23,212,15,72,Bay Ridge
36047005100,39,2658,679,402,1754,92,197,27,186,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047005201,47,1879,232,142,1350,17,332,8,30,Bay Ridge
36047005202,47,2668,399,264,2068,38,197,16,85,Bay Ridge
36047005301,38,2164,443,466,1256,163,119,41,119,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047005302,38,86,12,13,56,2,14,0,1,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047005303,38,0,0,0,0,0,0,0,0,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047005400,47,3426,530,564,2347,53,349,19,94,Bay Ridge
36047005601,47,2692,382,415,1907,44,235,33,58,Bay Ridge
36047005602,47,1734,256,221,1264,20,168,13,48,Bay Ridge
36047005800,47,3450,622,637,2236,69,380,41,87,Bay Ridge
36047005900,38,1742,286,503,821,269,44,22,83,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047006000,47,2876,579,705,1572,42,422,25,110,Bay Ridge
36047006200,47,2958,557,535,1851,75,374,25,98,Bay Ridge
36047006300,39,2007,479,219,1483,40,133,11,121,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047006400,47,3623,679,720,2254,57,469,27,96,Bay Ridge
36047006500,39,5461,1157,514,4267,81,280,29,290,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047006600,47,3974,771,928,2237,76,512,43,178,Bay Ridge
36047006700,39,3618,902,256,2860,35,213,15,239,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047006800,47,5491,1334,1486,2607,161,986,80,171,Bay Ridge
36047006901,33,1631,273,175,1189,46,105,7,109,Downtown Brooklyn-DUMBO-Boerum Hill
36047006902,39,1962,383,261,1367,57,131,19,127,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047007000,47,2454,429,510,1290,104,458,16,76,Bay Ridge
36047007100,39,4362,994,1481,887,1485,311,50,148,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047007200,38,2082,515,1141,264,41,587,4,45,Sunset Park (West)
36047007400,38,5829,1547,3629,411,53,1638,35,63,Sunset Park (West)
36047007500,39,4691,929,535,3483,79,269,41,284,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047007600,38,4872,1109,3004,553,76,1099,93,47,Sunset Park (West)
36047007700,39,5690,1137,588,4111,207,416,36,332,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047007800,38,5333,1222,3808,524,168,719,48,66,Sunset Park (West)
36047008000,38,4024,863,2839,453,104,503,51,74,Sunset Park (West)
36047008200,38,4008,843,2667,634,112,445,51,99,Sunset Park (West)
36047008400,38,3311,722,2213,624,153,215,32,74,Sunset Park (West)
36047008500,38,6673,1715,3152,109,2752,380,81,199,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047008600,38,0,0,0,0,0,0,0,0,Sunset Park (Central)
36047008800,38,3258,691,1710,800,101,531,30,86,Sunset Park (Central)
36047009001,38,1886,501,958,216,21,638,16,37,Sunset Park (Central)
36047009002,38,1391,364,602,115,37,609,3,25,Sunset Park (East)-Borough Park (West)
36047009201,38,2087,487,665,301,12,1071,6,32,Sunset Park (Central)
36047009202,38,3424,832,1394,303,98,1514,49,66,Sunset Park (East)-Borough Park (West)
36047009401,38,3127,810,661,152,9,2246,33,26,Sunset Park (Central)
36047009402,38,3168,893,468,621,39,1977,18,45,Sunset Park (East)-Borough Park (West)
36047009600,38,6462,1532,3283,804,141,2113,24,97,Sunset Park (Central)
36047009800,43,7440,1991,3342,298,81,3653,29,37,Sunset Park (Central)
36047010000,43,7741,1967,2425,434,71,4701,42,68,Sunset Park (Central)
36047010100,38,4590,976,2343,1430,340,300,55,122,Sunset Park (West)
36047010200,38,6578,1754,1487,297,46,4690,20,38,Sunset Park (Central)
36047010401,43,3015,757,208,156,18,2600,11,22,Sunset Park (Central)
36047010402,43,2965,758,214,247,25,2445,0,34,Sunset Park (East)-Borough Park (West)
36047010601,43,3037,732,451,134,10,2399,17,26,Sunset Park (Central)
36047010602,43,2820,649,160,77,3,2554,12,14,Sunset Park (East)-Borough Park (West)
36047010801,43,2876,764,396,84,6,2372,5,13,Sunset Park (Central)
36047010802,43,2840,652,411,240,31,2128,12,18,Sunset Park (East)-Borough Park (West)
36047011000,38,2709,824,1142,648,47,789,46,37,Sunset Park (East)-Borough Park (West)
36047011200,38,6636,2079,1944,2283,135,1963,147,164,Sunset Park (East)-Borough Park (West)
36047011400,38,4150,1206,640,1947,184,1113,159,107,Sunset Park (East)-Borough Park (West)
36047011600,43,5529,1510,558,478,42,4388,25,38,Sunset Park (East)-Borough Park (West)
36047011700,38,2672,421,729,1425,103,252,29,134,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047011800,43,2578,594,283,203,21,2036,20,15,Sunset Park (Central)
36047011901,39,1589,237,350,879,156,119,17,68,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047011902,38,0,0,0,0,0,0,0,0,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047012000,38,1176,296,144,93,3,906,4,26,Dyker Heights
36047012100,39,1916,295,463,1046,76,222,13,96,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047012200,38,5521,1332,2357,630,73,2394,27,40,Sunset Park (Central)
36047012600,47,3085,722,735,1053,80,1098,16,103,Bay Ridge
36047012700,39,4036,692,1183,1117,1265,265,39,167,Carroll Gardens-Cobble Hill-Gowanus-Red Hook
36047012801,38,2567,597,214,494,18,1799,4,38,Dyker Heights
36047012901,39,2333,343,405,1266,197,272,18,175,Park Slope
36047012902,39,3318,498,466,1681,610,319,21,221,Park Slope
36047013000,47,5347,1227,1163,2661,141,1100,66,216,Bay Ridge
36047013100,39,3979,655,692,2263,434,328,27,235,Park Slope
36047013200,38,2870,712,413,746,17,1617,14,63,Dyker Heights
36047013300,39,4411,919,525,2919,190,462,23,292,Park Slope
36047013400,47,4212,905,839,2168,71,941,40,153,Bay Ridge
36047013500,39,3799,881,454,2447,233,351,33,281,Park Slope
36047013600,47,4079,819,830,2446,58,546,40,159,Bay Ridge
36047013700,39,3406,622,506,2176,180,280,35,229,Park Slope
36047013800,47,3247,544,665,1937,72,430,49,94,Bay Ridge
36047013900,38,3727,619,625,2280,273,313,21,215,Park Slope
36047014000,47,2136,422,288,1418,18,357,21,34,Dyker Heights
36047014101,38,1621,388,309,829,216,176,10,81,Park Slope
36047014102,39,1858,349,343,1088,67,231,19,110,Windsor Terrace-South Slope
36047014200,47,3434,641,728,1988,74,535,25,84,Bay Ridge
36047014300,38,3705,646,1072,1903,138,349,43,200,Sunset Park (West)
36047014500,38,4404,703,1494,2087,209,302,50,262,Sunset Park (West)
36047014700,39,2242,494,631,1287,77,122,30,95,Sunset Park (West)
36047014800,50,1244,222,143,907,4,169,5,16,Dyker Heights
36047014901,39,1529,301,192,1002,84,139,6,106,Park Slope
36047014902,39,3601,682,655,2260,105,302,28,251,Windsor Terrace-South Slope
36047015000,50,1791,386,218,1045,3,493,1,31,Dyker Heights
36047015100,39,3696,818,369,2713,105,265,32,212,Park Slope
36047015200,50,2545,474,370,1481,36,563,28,67,Bay Ridge
36047015300,39,2633,575,247,1976,71,198,17,124,Park Slope
36047015400,50,9,1,2,3,0,0,1,3,Dyker Beach Park
36047015500,39,3466,810,277,2625,109,222,18,215,Park Slope
36047015700,39,4447,894,325,3339,150,298,52,283,Park Slope
36047015900,39,5206,844,378,3802,273,384,65,304,Park Slope
36047016000,47,4462,951,1115,2154,142,892,56,103,Bay Ridge
36047016100,35,3450,581,436,2051,380,327,30,226,Prospect Heights
36047016200,47,2218,357,373,1296,130,305,26,88,Bay Ridge
36047016300,35,4088,739,368,2312,664,415,50,279,Prospect Heights
36047016400,50,775,273,189,319,105,81,16,65,Fort Hamilton
36047016500,39,5080,1113,427,3825,128,359,57,284,Park Slope
36047016600,47,1968,395,120,1548,4,252,10,34,Dyker Heights
36047016700,39,4754,1064,504,3525,110,275,46,294,Park Slope
36047016800,50,1695,338,107,1016,17,527,1,27,Bath Beach
36047016900,39,4459,843,797,2694,137,543,47,241,Windsor Terrace-South Slope
36047017000,50,3604,759,406,1587,13,1521,21,56,Bath Beach
36047017100,39,3717,832,316,2822,69,261,37,212,Windsor Terrace-South Slope
36047017200,50,3300,696,422,1237,46,1518,12,65,Bath Beach
36047017400,47,1950,418,237,938,9,720,15,31,Bath Beach
36047017500,38,5,2,2,0,0,2,0,1,Green-Wood Cemetery
36047017600,47,2418,482,454,970,30,911,12,41,Bath Beach
36047017700,39,15,4,5,2,7,0,0,1,Prospect Park
36047017800,38,2959,629,545,966,45,1336,10,57,Bath Beach
36047017900,35,3895,610,590,954,1818,291,31,211,Fort Greene
36047018000,47,3125,704,681,1033,36,1313,13,49,Bath Beach
36047018100,35,4204,595,367,2477,764,334,40,222,Fort Greene
36047018200,38,3745,829,523,924,17,2196,16,69,Bensonhurst
36047018300,35,2784,527,306,1630,425,156,39,228,Fort Greene
36047018400,38,2460,447,146,895,7,1360,0,52,Bensonhurst
36047018501,35,4461,1128,1332,316,2138,493,41,141,Fort Greene
36047018600,38,2364,457,287,809,20,1216,5,27,Bensonhurst
36047018700,35,1336,227,217,667,236,102,34,80,Fort Greene
36047018800,38,2955,555,526,1121,19,1243,23,23,Bensonhurst
36047019000,38,4853,1069,1353,1262,61,2087,33,57,Bensonhurst
36047019100,35,3427,600,570,1634,562,411,60,190,Clinton Hill
36047019200,44,3541,1221,677,1492,23,1194,104,51,Borough Park
36047019300,35,6279,674,891,1942,2073,973,141,259,Clinton Hill
36047019400,43,3570,762,804,681,32,1995,5,53,Dyker Heights
36047019500,35,3684,517,509,1773,899,236,72,195,Clinton Hill
36047019600,38,4691,1017,973,1541,38,2050,17,72,Dyker Heights
36047019700,35,3585,595,312,1879,866,249,25,254,Clinton Hill
36047019800,38,2061,439,322,900,22,765,18,34,Dyker Heights
36047019900,35,3978,530,472,1838,1039,349,38,242,Clinton Hill
36047020000,38,2442,583,419,1005,24,936,15,43,Dyker Heights
36047020100,35,3862,606,324,2037,1020,220,41,220,Clinton Hill
36047020200,38,2147,465,220,1062,21,802,10,32,Dyker Heights
36047020300,35,2132,376,295,1070,324,264,41,138,Prospect Heights
36047020400,38,2040,459,144,1115,0,732,15,34,Dyker Heights
36047020500,35,3405,600,295,1942,555,312,50,251,Prospect Heights
36047020600,38,2505,533,381,1214,14,854,6,36,Dyker Heights
36047020700,35,4871,808,495,2745,911,366,65,289,Prospect Heights
36047020800,38,3782,871,430,1111,34,2159,4,44,Dyker Heights
36047021000,43,4488,1003,562,1130,26,2657,24,89,Dyker Heights
36047021100,35,2505,444,613,708,793,246,38,107,Fort Greene
36047021200,43,5278,1180,691,950,79,3499,29,30,Dyker Heights
36047021300,35,3880,517,434,857,2177,132,49,231,Crown Heights (South)
