ct,tot_,moe_,tot_not_hispanic,moe_not_hispanic,tot_hispanic,moe_hispanic,tot_mexican,moe_mexican,tot_puerto_rican,moe_puerto_rican,tot_cuban,moe_cuban,tot_dominican,moe_dominican,tot_central_american,moe_central_american,tot_costa_rican,moe_costa_rican,tot_guatemalan,moe_guatemalan,tot_honduran,moe_honduran,tot_nicaraguan,moe_nicaraguan,tot_panamanian,moe_panamanian,tot_salvadoran,moe_salvadoran,tot_other_central_american,moe_other_central_american,tot_south_american,moe_south_american,tot_argentinean,moe_argentinean,tot_bolivian,moe_bolivian,tot_chilean,moe_chilean,tot_colombian,moe_colombian,tot_ecuadorian,moe_ecuadorian,tot_paraguayan,moe_paraguayan,tot_peruvian,moe_peruvian,tot_uruguayan,moe_uruguayan,tot_venezuelan,moe_venezuelan,tot_other_south_american,moe_other_south_american,tot_other_hispanic_or_latino,moe_other_hispanic_or_latino,tot_spaniard,moe_spaniard,tot_spanish,moe_spanish,tot_spanish_american,moe_spanish_american,tot_all_other_hispanic_or_latino,moe_all_other_hispanic_or_latino
36005002300,4465,642,1265,409,3200,579,52,82,1303,431,64,105,1277,481,82,58,0,13,34,55,48,55,0,13,0,13,0,13,0,13,368,431,0,13,0,13,0,13,335,429,33,38,0,13,0,13,0,13,0,13,0,13,54,68,0,13,0,13,0,13,54,68
36005002400,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005002500,5662,679,1590,463,4072,705,657,406,1150,338,0,18,659,342,758,577,0,18,308,432,181,208,225,272,0,18,44,48,0,18,713,469,0,18,0,18,0,18,107,136,580,457,0,18,26,40,0,18,0,18,0,18,135,144,0,18,0,18,0,18,135,144
36005002701,2938,583,783,269,2155,508,614,483,858,318,9,14,490,309,131,168,0,13,0,13,131,168,0,13,0,13,0,13,0,13,14,22,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,22,0,13,39,58,0,13,39,58,0,13,0,13
36005002702,4413,699,1575,585,2838,573,325,229,1090,350,0,13,914,450,231,208,17,27,21,32,166,191,14,28,0,13,13,19,0,13,90,93,0,13,0,13,0,13,10,15,80,93,0,13,0,13,0,13,0,13,0,13,188,202,0,13,0,13,0,13,188,202
36005002800,5372,827,3418,564,1954,784,0,18,1327,495,0,18,516,510,30,53,0,18,0,18,0,18,0,18,0,18,30,53,0,18,81,86,0,18,0,18,0,18,81,86,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36005003100,2165,430,749,243,1416,383,202,149,453,186,0,13,473,353,71,70,0,13,0,13,63,64,0,13,0,13,8,15,0,13,204,138,0,13,0,13,8,15,0,13,196,143,0,13,0,13,0,13,0,13,0,13,13,20,0,13,0,13,0,13,13,20
36005003300,3339,760,1225,767,2114,422,309,384,1129,273,12,22,569,296,37,49,0,13,27,43,10,21,0,13,0,13,0,13,0,13,10,21,0,13,0,13,0,13,10,21,0,13,0,13,0,13,0,13,0,13,0,13,48,70,0,13,0,13,0,13,48,70
36005003500,3880,899,1081,549,2799,954,342,274,650,228,0,13,1195,876,142,229,0,13,0,13,142,229,0,13,0,13,0,13,0,13,125,119,0,13,0,13,0,13,7,11,114,117,0,13,0,13,0,13,4,17,0,13,345,318,0,13,35,52,0,13,310,314
36005003700,277,83,75,54,202,97,19,29,98,66,0,13,17,24,30,49,0,13,0,13,30,49,0,13,0,13,0,13,0,13,38,51,0,13,0,13,0,13,0,13,38,51,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005003800,1313,153,375,240,938,232,9,13,595,218,0,13,288,151,23,21,0,13,12,12,0,13,0,13,0,13,11,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,23,33,23,33,0,13,0,13,0,13
36005003900,6710,1226,1098,680,5612,1180,1954,886,1416,551,122,193,1516,984,425,516,0,18,0,18,425,516,0,18,0,18,0,18,0,18,109,160,0,18,0,18,0,18,0,18,109,160,0,18,0,18,0,18,0,18,0,18,70,50,0,18,0,18,0,18,70,50
36005004001,1574,320,796,299,778,314,0,13,297,107,8,12,341,246,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,103,137,0,13,0,13,0,13,22,28,81,123,0,13,0,13,0,13,0,13,0,13,29,32,0,13,0,13,0,13,29,32
36005004100,5798,1391,1743,879,4055,1193,411,282,2015,911,0,18,1247,629,347,326,26,45,81,162,240,280,0,18,0,18,0,18,0,18,33,47,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,33,47,0,18,2,5,0,18,0,18,0,18,2,5
36005004200,7803,987,2222,644,5581,1060,70,125,2436,1022,0,18,2208,997,101,111,0,18,0,18,0,18,0,18,101,111,0,18,0,18,766,529,0,18,0,18,0,18,0,18,766,529,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18
36005004300,5527,694,1384,356,4143,656,103,72,2467,576,0,18,1003,350,109,99,0,18,0,18,30,45,14,27,31,48,34,58,0,18,445,333,0,18,0,18,0,18,34,50,382,327,0,18,0,18,0,18,0,18,29,43,16,25,0,18,0,18,0,18,16,25
36005004400,4551,503,1849,412,2702,465,25,39,1113,291,34,45,1434,483,32,52,0,13,0,13,32,52,0,13,0,13,0,13,0,13,11,14,0,13,5,10,0,13,6,10,0,13,0,13,0,13,0,13,0,13,0,13,53,68,0,13,0,13,0,13,53,68
36005004600,1826,365,674,252,1152,330,0,13,668,246,27,42,398,277,59,58,0,13,0,13,27,43,22,33,0,13,10,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005004800,4464,606,1023,465,3441,386,325,219,860,323,70,98,1209,350,42,55,14,22,0,13,28,37,0,13,0,13,0,13,0,13,702,442,0,13,0,13,0,13,24,45,392,292,0,13,286,315,0,13,0,13,0,13,233,212,30,51,0,13,0,13,203,209
36005005001,4304,630,1436,427,2868,517,344,281,590,266,60,60,1284,466,352,244,0,13,0,13,168,144,78,123,0,13,106,163,0,13,141,148,0,13,0,13,0,13,0,13,141,148,0,13,0,13,0,13,0,13,0,13,97,54,0,13,0,13,0,13,97,54
36005005002,6393,1051,1636,843,4757,709,1965,668,998,272,31,45,861,369,160,144,0,18,108,114,47,51,0,18,0,18,5,10,0,18,665,314,0,18,0,18,0,18,17,24,566,310,0,18,82,101,0,18,0,18,0,18,77,55,3,7,0,18,0,18,74,53
36005005100,6087,1101,2345,629,3742,983,56,93,1629,643,0,18,1227,515,726,829,0,18,133,190,593,805,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,104,115,0,18,63,95,0,18,41,69
36005005200,1833,269,602,203,1231,313,82,70,727,296,16,26,237,99,35,34,0,13,14,22,17,25,0,13,4,6,0,13,0,13,114,127,0,13,0,13,0,13,34,42,80,121,0,13,0,13,0,13,0,13,0,13,20,22,13,19,0,13,0,13,7,11
36005005300,5472,709,2963,776,2509,524,174,255,850,454,88,99,1033,398,164,248,0,18,0,18,164,248,0,18,0,18,0,18,0,18,23,33,0,18,0,18,0,18,23,33,0,18,0,18,0,18,0,18,0,18,0,18,177,184,0,18,0,18,0,18,177,184
36005005400,5638,820,1622,366,4016,768,804,372,1261,540,0,18,999,639,30,49,0,18,30,49,0,18,0,18,0,18,0,18,0,18,842,352,0,18,74,117,0,18,0,18,768,347,0,18,0,18,0,18,0,18,0,18,80,76,0,18,0,18,0,18,80,76
36005005600,2168,352,780,257,1388,292,128,131,414,146,48,51,555,190,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,227,107,10,13,0,13,0,13,17,26,194,97,0,13,6,9,0,13,0,13,0,13,16,23,0,13,11,22,0,13,5,7
36005005902,2730,480,1058,368,1672,452,0,13,237,126,0,13,1155,447,45,71,0,13,0,13,45,71,0,13,0,13,0,13,0,13,64,105,0,13,0,13,0,13,0,13,64,105,0,13,0,13,0,13,0,13,0,13,171,170,0,13,60,98,0,13,111,102
36005006000,1295,363,67,52,1228,360,71,63,510,256,0,13,567,320,15,20,0,13,0,13,0,13,0,13,15,20,0,13,0,13,35,38,0,13,0,13,0,13,9,13,0,13,0,13,10,13,0,13,16,28,0,13,30,43,0,13,0,13,0,13,30,43
36005006100,3955,628,3203,667,752,244,0,13,244,115,20,24,363,147,125,191,0,13,0,13,125,191,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36005006200,6710,809,2050,467,4660,702,653,702,2059,893,44,70,1048,626,126,178,0,18,109,176,0,18,17,27,0,18,0,18,0,18,378,373,0,18,0,18,0,18,0,18,95,156,27,47,256,338,0,18,0,18,0,18,352,512,0,18,0,18,0,18,352,512
