ct,cd,tot_pov_pop,below_pov_pop
36005034800,12,6184,1686
36005035000,12,2197,127
36005035100,11,2826,178
36005035600,12,2184,295
36005035800,12,8686,843
36005035900,15,2420,1041
36005036000,13,3126,129
36005036100,15,5728,3050
36005036300,15,7165,2902
36005036400,12,2641,189
36005036501,15,4234,1238
36005036502,15,2469,966
36005036700,15,2061,699
36005036800,12,2270,848
36005036901,15,2141,1031
36005036902,15,2212,1235
36005037000,12,2479,248
36005037100,15,4153,954
36005037200,12,2141,314
36005037300,15,6622,2392
36005037400,12,3918,1321
36005037504,15,3429,1277
36005037600,12,2063,483
36005037800,12,3132,753
36005037900,15,6101,2338
36005038000,12,5009,1831
36005038100,15,7697,2511
36005038200,12,2981,647
36005038301,15,5349,1028
36005038303,15,3775,1284
36005038304,15,2218,1177
36005038500,15,5016,2765
36005038600,12,9240,826
36005038700,15,3567,1282
36005038800,12,2881,672
36005038900,15,5243,2115
36005039000,12,3108,237
36005039100,15,7082,2396
36005039200,12,1717,227
36005039300,15,8676,2932
36005039400,12,4963,1113
36005039500,15,4268,1684
36005039600,12,4514,660
36005039700,15,813,252
36005039800,12,4184,780
36005039901,15,5211,1846
36005039902,15,5570,1573
36005040100,14,5008,1852
36005040302,15,5319,2029
36005040303,14,4206,1122
36005040304,14,3619,1119
36005040400,12,3264,307
36005040501,15,3929,1065
36005040502,15,7390,1966
36005040600,12,3990,625
36005040701,14,3136,706
36005040702,15,7114,1421
36005040800,12,4976,845
36005040900,11,3272,316
36005041100,11,3676,748
36005041300,11,9080,2183
36005041400,11,5312,430
36005041500,11,6052,1425
36005041800,11,3718,370
36005041900,11,6202,1559
36005042000,11,4471,1562
36005042100,11,5835,1466
36005042200,11,2873,204
36005042300,11,4395,1189
36005042400,12,2271,246
36005042500,11,6559,1819
36005042600,12,7011,592
36005042800,12,2099,228
36005042901,11,3248,1288
36005042902,11,4063,743
36005043000,11,3565,609
36005043101,11,5837,1959
36005043102,11,4601,1900
36005043400,11,3880,540
36005043501,11,1059,496
36005043502,11,0,0
36005043503,11,0,0
36005043600,11,2214,433
36005044200,11,4108,1469
36005044400,12,4715,634
36005044800,12,2225,317
36005044901,11,1995,96
36005044902,11,2146,206
36005045101,11,1480,36
36005045102,11,2159,88
36005045600,13,3609,108
36005045800,12,5328,2062
36005046000,12,2876,767
36005046203,12,6633,736
36005046204,12,6877,588
36005046205,12,3053,355
36005046206,12,4084,214
36005046207,12,6351,963
36005046208,12,5144,770
36005046209,12,5039,1781
36005048401,12,4177,202
36005048402,12,0,0
36005050400,13,0,0
36005051601,13,4417,272
36005051602,13,0,0
36047000100,33,4689,244
36047000200,38,1160,339
36047000301,33,3827,140
36047000501,33,3365,155
36047000502,33,2746,90
36047000700,33,3997,232
36047000900,33,4260,50
36047001100,33,1508,128
36047001300,33,2028,253
36047001501,35,5117,785
36047001502,33,5074,962
36047001801,38,0,0
36047001802,38,0,0
36047001803,38,0,0
36047001804,38,0,0
36047002000,38,1845,240
36047002100,33,5540,237
36047002200,38,4032,1037
36047002300,35,4261,2201
36047002901,35,4253,1897
36047003000,47,1736,142
36047003101,35,2757,198
36047003102,35,0,0
36047003300,35,4563,602
36047003400,47,3536,163
36047003500,35,2283,214
36047003600,47,3694,549
36047003700,33,3127,282
36047003800,47,1512,85
36047003900,33,2349,294
36047004100,33,3294,334
36047004300,33,3802,408
36047004400,47,2335,123
36047004500,39,3613,137
36047004600,47,1386,95
36047004700,39,1912,146
36047004900,39,2448,183
36047005000,47,2405,85
36047005100,39,2937,118
36047005201,47,1659,312
36047005202,47,2717,177
36047005301,38,2327,260
36047005302,38,91,5
36047005303,38,0,0
36047005400,47,3364,238
36047005601,47,2585,372
36047005602,47,1867,64
36047005800,47,3066,280
36047005900,38,1229,74
36047006000,47,3516,179
36047006200,47,2520,435
36047006300,39,2284,193
36047006400,47,3260,426
36047006500,39,6307,265
36047006600,47,3896,665
36047006700,39,4068,206
36047006800,47,4648,937
36047006901,33,1784,175
36047006902,39,2157,99
36047007000,47,2621,123
36047007100,39,4669,1164
36047007200,38,1843,543
36047007400,38,5464,1007
36047007500,39,4811,343
36047007600,38,5327,1191
36047007700,39,6211,184
36047007800,38,4968,829
36047008000,38,3571,422
36047008200,38,3696,666
36047008400,38,3742,559
36047008500,38,7412,3935
36047008600,38,0,0
36047008800,38,2507,322
36047009001,38,1388,262
36047009002,38,1381,129
36047009201,38,2167,534
36047009202,38,3533,1031
36047009401,38,2400,965
36047009402,38,2969,454
36047009600,38,5789,1139
36047009800,43,6195,1488
36047010000,43,5425,1162
36047010100,38,4319,667
36047010200,38,4964,788
36047010401,43,2337,471
36047010402,43,2180,1000
36047010601,43,2773,965
36047010602,43,2185,484
36047010801,43,1895,452
36047010802,43,2413,775
36047011000,38,2464,538
36047011200,38,6274,1763
36047011400,38,3119,977
