ct,tot_pop_ancestry,moe_pop_ancestry,tot_afghan,moe_afghan,tot_albanian,moe_albanian,tot_alsatian,moe_alsatian,tot_american,moe_american,tot_arab,moe_arab,tot_arab_egyptian,moe_arab_egyptian,tot_arab_iraqi,moe_arab_iraqi,tot_arab_jordanian,moe_arab_jordanian,tot_arab_lebanese,moe_arab_lebanese,tot_arab_moroccan,moe_arab_moroccan,tot_arab_palestinia,moe_arab_palestinian,tot_arab_syrian,moe_arab_syrian,tot_arab_arab,moe_arab_arab,tot_arab_other_arab,moe_arab_other_arab,tot_armenian,moe_armenian,tot_assyrian/chaldean/syriac,moe_assyrian/chaldean/syriac,tot_australian,moe_australian,tot_austrian,moe_austrian,tot_basque,moe_basque,tot_belgian,moe_belgian,tot_brazilian,moe_brazilian,tot_british,moe_british,tot_bulgarian,moe_bulgarian,tot_cajun,moe_cajun,tot_canadian,moe_canadian,tot_carpatho_rusyn,moe_carpatho_rusyn,tot_celtic,moe_celtic,tot_croatian,moe_croatian,tot_cypriot,moe_cypriot,tot_czech,moe_czech,tot_czechoslovakian,moe_czechoslovakian,tot_danish,moe_danish,tot_dutch,moe_dutch,tot_eastern_european,moe_eastern_european,tot_english,moe_english,tot_estonian,moe_estonian,tot_european,moe_european,tot_finnish,moe_finnish,tot_french_ex_basque,moe_french_ex_basque,tot_french_canadian,moe_french_canadian,tot_german,moe_german,tot_german_russian,moe_german_russian,tot_greek,moe_greek,tot_guyanese,moe_guyanese,tot_hungarian,moe_hungarian,tot_icelander,moe_icelander,tot_iranian,moe_iranian,tot_irish,moe_irish,tot_israeli,moe_israeli,tot_italian,moe_italian,tot_latvian,moe_latvian,tot_lithuanian,moe_lithuanian,tot_luxembourger,moe_luxembourger,tot_macedonian,moe_macedonian,tot_maltese,moe_maltese,tot_new_zealander,moe_new_zealander,tot_northern_european,moe_northern_european,tot_norwegian,moe_norwegian,tot_pennsylvania_german,moe_pennsylvania_german,tot_polish,moe_polish,tot_portuguese,moe_portuguese,tot_romanian,moe_romanian,tot_russian,moe_russian,tot_scandinavian,moe_scandinavian,tot_scotch-irish,moe_scotch-irish,tot_scottish,moe_scottish,tot_serbian,moe_serbian,tot_slavic,moe_slavic,tot_slovak,moe_slovak,tot_slovene,moe_slovene,tot_soviet_union,moe_soviet_union,tot_s_african,moe_s_african,tot_s_african_cape_verdean,moe_s_african_cape_verdean,tot_s_african_ethiopian,moe_s_african_ethiopian,tot_s_african_ghanaian,moe_s_african_ghanaian,tot_s_african_kenyan,moe_s_african_kenyan,tot_s_african_liberian,moe_s_african_liberian,tot_s_african_nigerian,moe_s_african_nigerian,tot_s_african_senegalese,moe_s_african_senegalese,tot_s_african_sierra_leonean,moe_s_african_sierra_leonean,tot_s_african_somali,moe_s_african_somali,tot_s_african_south_african,moe_s_african_south_african,tot_s_african_sudanese,moe_s_african_sudanese,tot_s_african_ugandan,moe_s_african_ugandan,tot_s_african_zimbabwean,moe_s_african_zimbabwean,tot_s_african_african,moe_s_african_african,tot_s_african_other_s_african,moe_s_african_other_s_african,tot_swedish,moe_swedish,tot_swiss,moe_swiss,tot_turkish,moe_turkish,tot_ukrainian,moe_ukrainian,tot_welsh,moe_welsh,tot_w_indians,moe_w_indians,tot_w_indians_bahamian,moe_w_indians_bahamian,tot_w_indians_barbadian,moe_w_indians_barbadian,tot_w_indians_belizean,moe_w_indians_belizean,tot_w_indians_bermudan,moe_w_indians_bermudan,tot_w_indians_british_west_indian,moe_w_indians_british_west_indian,tot_w_indians_dutch_west_indian,moe_w_indians_dutch_west_indian,tot_w_indians_haitian,moe_w_indians_haitian,tot_w_indians_jamaican,moe_w_indians_jamaican,tot_w_indians_trinidadian_and_tobagonian,moe_w_indians_trinidadian_and_tobagonian,tot_w_indians_u.s._virgin_islander,moe_w_indians_u.s._virgin_islander,tot_w_indians_west_indian,moe_w_indians_west_indian,tot_w_indians_other_west_indian,moe_w_indians_other_west_indian,tot_yugoslavian,moe_yugoslavian,tot_other_groups,moe_other_groups,tot_unclass_not_rep,moe_unclass_not_rep,tot_pop_hisp_origin,moe_pop_hisp_origin,tot_not_hispanic,moe_not_hispanic,tot_hispanic,moe_hispanic,tot_mexican,moe_mexican,tot_puerto_rican,moe_puerto_rican,tot_cuban,moe_cuban,tot_dominican,moe_dominican,tot_central_american,moe_central_american,tot_costa_rican,moe_costa_rican,tot_guatemalan,moe_guatemalan,tot_honduran,moe_honduran,tot_nicaraguan,moe_nicaraguan,tot_panamanian,moe_panamanian,tot_salvadoran,moe_salvadoran,tot_other_central_american,moe_other_central_american,tot_south_american,moe_south_american,tot_argentinean,moe_argentinean,tot_bolivian,moe_bolivian,tot_chilean,moe_chilean,tot_colombian,moe_colombian,tot_ecuadorian,moe_ecuadorian,tot_paraguayan,moe_paraguayan,tot_peruvian,moe_peruvian,tot_uruguayan,moe_uruguayan,tot_venezuelan,moe_venezuelan,tot_other_south_american,moe_other_south_american,tot_other_hispanic_or_latino,moe_other_hispanic_or_latino,tot_spaniard,moe_spaniard,tot_spanish,moe_spanish,tot_spanish_american,moe_spanish_american,tot_all_other_hispanic_or_latino,moe_all_other_hispanic_or_latino,tot_pop_asian,moe_pop_asian,tot_asian_indian,moe_asian_indian,tot_bangladeshi,moe_bangladeshi,tot_bhutanese,moe_bhutanese,tot_burmese,moe_burmese,tot_cambodian,moe_cambodian,"tot_chinese,_except_taiwanese","moe_chinese,_except_taiwanese",tot_filipino,moe_filipino,tot_hmong,moe_hmong,tot_indonesian,moe_indonesian,tot_japanese,moe_japanese,tot_korean,moe_korean,tot_laotian,moe_laotian,tot_malaysian,moe_malaysian,tot_mongolian,moe_mongolian,tot_nepalese,moe_nepalese,tot_okinawan,moe_okinawan,tot_pakistani,moe_pakistani,tot_sri_lankan,moe_sri_lankan,tot_taiwanese,moe_taiwanese,tot_thai,moe_thai,tot_vietnamese,moe_vietnamese,"tot_other_asian,_specified","moe_other_asian,_specified","tot_other_asian,_not_specified","moe_other_asian,_not_specified",tot_two_or_more_asian,moe_two_or_more_asian
36047005100,2967,533,0,13,0,13,0,13,123,80,15,23,0,13,0,13,0,13,15,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,14,0,13,0,13,0,13,89,92,0,13,0,13,9,15,0,13,0,13,0,13,0,13,8,12,31,46,0,13,49,74,70,75,355,200,0,13,67,65,0,13,92,78,49,71,405,222,0,13,9,14,0,13,22,28,0,13,39,57,269,126,0,13,290,257,11,18,16,23,0,13,0,13,0,13,0,13,0,13,113,103,0,13,268,160,15,22,0,13,62,60,0,13,0,13,21,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,189,211,23,25,85,121,15,22,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30,42,578,223,828,283,2967,533,2803,502,164,125,8,12,32,34,0,13,0,13,59,64,0,13,0,13,16,25,0,13,43,52,0,13,0,13,63,92,0,13,0,13,53,90,10,16,0,13,0,13,0,13,0,13,0,13,0,13,2,4,0,13,0,13,0,13,2,4,159,64,23,25,0,13,0,13,0,13,0,13,34,34,13,20,0,13,0,13,49,47,20,24,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,20,29,0,13
36047005201,1659,281,0,13,60,75,0,13,13,21,80,78,0,13,0,13,0,13,19,18,48,71,0,13,0,13,0,13,13,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,15,13,18,0,13,0,13,19,39,0,13,19,21,0,13,0,13,64,91,19,39,15,19,0,13,55,48,0,13,9,15,0,13,5,9,0,13,0,13,228,128,0,13,218,97,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,64,85,0,13,0,13,99,61,9,14,33,28,59,61,8,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,39,46,0,13,0,13,63,52,0,13,1,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,4,0,13,0,13,0,13,0,13,572,211,266,131,1659,281,1456,219,203,149,71,116,130,92,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,2,4,0,13,0,13,0,13,2,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,320,149,11,12,0,13,0,13,0,13,0,13,256,138,0,13,0,13,0,13,27,43,17,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,14,0,13,0,13,0,13
36047005202,2734,367,0,13,112,179,0,13,61,44,305,217,98,158,0,13,0,13,179,147,17,26,0,13,11,17,0,13,0,13,0,13,0,13,0,13,40,62,0,13,0,13,0,13,11,17,0,13,0,13,0,13,0,13,0,13,10,16,0,13,0,13,0,13,9,15,36,48,11,17,188,127,0,13,11,17,0,13,0,13,0,13,58,51,0,13,66,56,0,13,22,33,0,13,0,13,457,178,0,13,614,212,0,13,11,17,0,13,42,67,0,13,0,13,0,13,9,15,0,13,118,72,0,13,0,13,149,158,0,13,10,16,34,41,0,13,9,13,11,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,21,22,11,17,0,13,98,63,0,13,10,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,17,0,13,0,13,0,13,0,13,11,17,470,153,393,164,2734,367,2545,366,189,109,14,21,62,50,23,35,23,25,13,19,0,13,0,13,12,18,0,13,0,13,1,4,0,13,41,63,0,13,0,13,0,13,41,63,0,13,0,13,0,13,0,13,0,13,0,13,13,20,0,13,0,13,0,13,13,20,104,83,64,65,0,13,0,13,0,13,0,13,40,54,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36047005301,2334,388,0,13,0,13,0,13,123,58,49,50,6,8,6,9,0,13,0,13,0,13,0,13,0,13,0,13,37,49,0,13,0,13,6,9,5,8,0,13,0,13,0,13,32,27,0,13,0,13,0,13,0,13,0,13,12,9,0,13,9,10,0,13,0,13,20,17,63,59,237,81,0,13,49,36,11,18,23,17,0,13,176,76,0,13,6,9,5,7,5,7,0,13,0,13,324,119,0,13,187,65,0,13,23,24,0,13,0,13,0,13,0,13,10,16,16,13,0,13,45,27,26,37,0,13,95,53,0,13,5,8,54,36,0,13,0,13,0,13,0,13,0,13,4,7,0,13,0,13,4,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,42,25,0,13,0,13,18,15,17,18,251,354,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,213,350,0,13,38,54,0,13,0,13,599,131,473,182,2334,388,1871,381,463,148,38,48,307,132,0,13,0,13,43,38,0,13,8,13,12,17,0,13,0,13,23,33,0,13,46,32,0,13,0,13,0,13,35,28,11,16,0,13,0,13,0,13,0,13,0,13,29,30,7,12,15,24,0,13,7,11,58,35,18,16,0,13,0,13,0,13,0,13,34,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,9
36047005302,91,85,0,13,0,13,0,13,0,13,13,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,13,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,23,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,39,58,0,13,13,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,42,63,10,14,91,85,44,33,47,64,42,63,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,7,5,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,7,5,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36047005303,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36047005400,3388,535,0,13,30,48,0,13,335,150,208,137,39,68,0,13,13,22,120,127,0,13,0,13,0,13,10,16,26,39,11,16,0,13,0,13,0,13,8,12,0,13,6,9,28,25,0,13,0,13,10,15,0,13,11,16,0,13,0,13,0,13,0,13,0,13,0,13,31,26,75,50,0,13,45,42,0,13,41,34,0,13,189,80,0,13,172,129,0,13,9,14,0,13,0,13,354,156,0,13,599,220,31,39,22,17,0,13,0,13,0,13,0,13,0,13,0,13,18,23,190,99,0,13,0,13,141,73,14,21,19,34,54,68,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,73,107,5,9,0,13,129,162,0,13,6,9,0,13,0,13,0,13,0,13,0,13,123,163,0,13,0,13,6,9,0,13,0,13,991,332,405,262,3388,535,2982,417,406,242,0,13,97,103,0,13,30,43,29,46,0,13,29,46,0,13,0,13,0,13,0,13,0,13,198,224,12,19,0,13,0,13,0,13,186,221,0,13,0,13,0,13,0,13,0,13,52,54,0,13,24,31,0,13,28,44,448,234,22,25,0,13,0,13,0,13,0,13,304,199,97,92,0,13,25,36,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36047005601,2585,584,0,13,0,13,0,13,274,210,358,395,49,60,0,13,0,13,60,71,0,13,0,13,0,13,0,13,249,382,0,13,0,13,0,13,10,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,26,42,90,0,13,9,14,0,13,13,21,0,13,192,89,0,13,26,24,15,23,7,13,0,13,0,13,286,159,0,13,431,150,0,13,0,13,0,13,0,13,0,13,0,13,10,14,0,13,0,13,121,70,26,44,7,12,116,80,0,13,19,23,0,13,0,13,0,13,0,13,0,13,0,13,12,18,0,13,0,13,0,13,0,13,0,13,12,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,10,0,13,17,27,20,29,38,42,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,38,42,0,13,0,13,666,194,518,369,2585,584,2248,599,337,194,20,23,145,171,34,37,38,42,2,16,2,16,0,13,0,13,0,13,0,13,0,13,0,13,55,46,13,23,0,13,11,18,19,23,12,19,0,13,0,13,0,13,0,13,0,13,43,51,16,25,0,13,0,13,27,43,467,378,9,14,0,13,0,13,0,13,0,13,155,92,46,44,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,249,382,0,13,0,13,0,13,8,12,0,13
36047005602,1867,401,0,13,4,7,0,13,91,84,194,165,74,126,0,13,0,13,0,13,0,13,40,60,45,73,0,13,35,46,0,13,0,13,6,8,6,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,74,126,0,13,0,13,0,13,0,13,48,44,17,14,0,13,11,12,0,13,25,31,0,13,135,105,0,13,53,63,0,13,0,13,0,13,0,13,186,91,0,13,531,243,0,13,0,13,0,13,0,13,0,13,0,13,0,13,40,57,0,13,77,45,0,13,15,22,128,53,0,13,0,13,21,30,0,13,0,13,21,19,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,17,16,0,13,6,9,4,7,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,604,285,179,88,1867,401,1520,285,347,271,77,121,250,223,0,13,1,3,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,18,27,0,13,0,13,0,13,0,13,18,27,0,13,0,13,0,13,0,13,0,13,1,3,0,13,0,13,0,13,1,3,147,86,58,79,0,13,0,13,0,13,0,13,65,34,0,13,0,13,0,13,0,13,8,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,19,0,13,0,13,0,13,5,8,0,13
36047005800,3066,492,0,13,68,87,0,13,100,68,331,184,54,69,0,13,0,13,118,101,0,13,5,8,61,54,82,126,11,18,10,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,24,23,10,15,0,13,93,62,0,13,19,31,0,13,6,9,20,21,115,64,0,13,226,208,0,13,10,15,0,13,0,13,408,222,0,13,347,139,30,34,0,13,0,13,0,13,0,13,0,13,0,13,21,23,0,13,117,76,0,13,0,13,92,70,0,13,9,13,10,15,0,13,9,15,10,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31,34,0,13,36,57,67,54,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31,52,969,309,621,269,3066,492,2489,384,577,272,20,23,283,189,21,32,46,60,11,17,0,13,0,13,0,13,0,13,0,13,11,17,0,13,172,166,0,13,0,13,0,13,0,13,147,165,0,13,11,18,14,21,0,13,0,13,24,27,10,16,0,13,14,22,0,13,280,130,44,53,0,13,0,13,0,13,0,13,149,102,40,50,0,13,0,13,17,28,30,48,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36047005900,1234,159,0,13,0,13,0,13,54,36,9,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,14,9,14,0,13,0,13,30,36,0,13,0,13,0,13,6,10,0,13,0,13,0,13,0,13,0,13,0,13,0,13,7,12,0,13,47,41,19,20,25,39,92,44,0,13,9,14,9,12,9,13,10,16,143,64,0,13,42,40,0,13,0,13,0,13,0,13,143,65,0,13,101,53,0,13,0,13,0,13,0,13,0,13,0,13,0,13,63,35,0,13,10,15,0,13,0,13,50,57,0,13,27,28,29,26,0,13,0,13,0,13,0,13,0,13,2,6,0,13,0,13,0,13,0,13,0,13,2,6,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,9,0,13,10,16,37,49,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,437,174,225,93,1234,159,975,147,259,124,11,17,130,82,15,22,20,31,11,17,0,13,0,13,0,13,0,13,0,13,11,17,0,13,49,43,0,13,0,13,0,13,42,39,0,13,0,13,7,10,0,13,0,13,0,13,23,32,21,32,0,13,0,13,2,5,25,32,0,13,0,13,0,13,0,13,0,13,25,32,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36047006000,3516,561,0,13,54,53,0,13,61,97,367,372,213,335,0,13,0,13,144,152,10,15,0,13,0,13,0,13,0,13,0,13,0,13,0,13,66,92,0,13,0,13,0,13,22,26,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30,38,50,45,0,13,19,22,0,13,9,14,0,13,383,235,0,13,101,86,0,13,0,13,0,13,0,13,369,167,0,13,398,146,0,13,0,13,0,13,0,13,0,13,0,13,0,13,54,50,0,13,100,94,0,13,0,13,53,44,0,13,42,67,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,20,0,13,0,13,20,41,20,26,11,17,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,17,0,13,0,13,1653,548,401,206,3516,561,2114,458,1402,549,902,440,125,82,0,13,207,176,17,32,0,13,0,13,0,13,0,13,0,13,0,13,17,32,135,117,0,13,0,13,0,13,0,13,55,58,0,13,80,96,0,13,0,13,0,13,16,26,0,13,0,13,0,13,16,26,317,144,18,20,0,13,0,13,0,13,0,13,128,97,88,84,0,13,0,13,16,20,0,13,0,13,0,13,0,13,0,13,0,13,29,55,0,13,0,13,0,13,23,35,0,13,0,13,15,23
36047006200,2536,625,0,13,19,28,0,13,138,81,668,617,210,156,0,13,12,20,13,15,0,13,0,13,14,17,380,579,39,67,0,13,0,13,0,13,0,13,0,13,0,13,14,22,11,15,0,13,0,13,0,13,0,13,0,13,16,25,0,13,0,13,0,13,21,32,0,13,23,27,129,123,0,13,21,28,0,13,0,13,0,13,31,34,0,13,12,18,0,13,0,13,0,13,0,13,179,71,0,13,218,119,0,13,0,13,0,13,0,13,0,13,0,13,0,13,70,59,0,13,41,45,0,13,14,22,38,38,0,13,8,12,19,23,0,13,0,13,0,13,0,13,0,13,10,16,0,13,0,13,0,13,0,13,9,15,1,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,16,25,0,13,0,13,141,109,28,32,51,60,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1,2,0,13,0,13,50,60,0,13,0,13,808,236,299,157,2536,625,2155,601,381,198,53,61,152,129,0,13,24,37,36,46,23,37,0,13,0,13,0,13,0,13,13,27,0,13,96,76,0,13,0,13,0,13,29,49,44,37,0,13,23,28,0,13,0,13,0,13,20,96,0,13,0,13,0,13,20,96,446,203,41,71,63,93,0,13,0,13,0,13,222,153,0,13,0,13,0,13,0,13,11,19,0,13,0,13,0,13,0,13,0,13,109,98,0,13,0,13,0,13,0,13,0,13,0,13,0,13
36047006300,2284,294,0,13,0,13,0,13,23,25,14,17,0,13,0,13,0,13,0,13,0,13,8,13,0,13,6,8,0,13,5,8,0,13,11,15,0,13,0,13,0,13,10,11,46,42,0,13,0,13,3,5,0,13,0,13,0,13,0,13,0,13,8,11,0,13,0,13,159,133,166,90,0,13,36,27,0,13,77,49,4,6,205,139,0,13,8,11,0,13,10,10,0,13,39,57,353,130,5,8,281,125,0,13,0,13,0,13,0,13,0,13,0,13,24,34,21,17,0,13,113,77,0,13,4,7,50,36,78,123,4,7,64,46,0,13,0,13,0,13,0,13,0,13,29,28,0,13,0,13,0,13,5,8,0,13,0,13,0,13,0,13,0,13,8,11,0,13,0,13,0,13,16,25,0,13,47,48,7,8,5,7,0,13,0,13,4,6,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,6,0,13,0,13,0,13,0,13,0,13,839,217,453,166,2284,294,2028,287,256,124,77,71,61,45,0,13,0,13,7,12,0,13,7,12,0,13,0,13,0,13,0,13,0,13,106,75,0,13,6,9,14,21,4,6,82,71,0,13,0,13,0,13,0,13,0,13,5,8,5,8,0,13,0,13,0,13,114,79,5,7,0,13,0,13,0,13,0,13,99,79,0,13,0,13,0,13,5,7,0,13,0,13,0,13,0,13,0,13,0,13,1,3,0,13,0,13,0,13,0,13,4,6,0,13,0,13
36047006400,3264,498,0,13,19,29,0,13,353,284,344,189,62,70,0,13,0,13,53,51,108,107,0,13,0,13,10,16,121,155,13,22,0,13,0,13,9,13,0,13,0,13,0,13,8,14,0,13,0,13,9,14,0,13,0,13,7,12,0,13,0,13,0,13,0,13,0,13,0,13,46,31,0,13,42,44,0,13,36,40,10,15,260,144,0,13,270,212,0,13,0,13,0,13,0,13,501,203,0,13,435,204,0,13,36,45,0,13,0,13,0,13,0,13,47,53,72,49,0,13,78,66,0,13,0,13,39,34,0,13,18,21,18,21,0,13,0,13,37,67,0,13,0,13,21,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,21,25,0,13,170,161,0,13,42,47,94,71,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,870,267,459,220,3264,498,2957,486,307,148,21,29,197,132,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,69,69,0,13,0,13,0,13,11,17,0,13,0,13,35,57,0,13,23,37,0,13,20,25,12,20,8,14,0,13,0,13,250,115,8,14,0,13,0,13,0,13,0,13,185,110,30,38,0,13,0,13,0,13,7,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,20,35,0,13,0,13
36047006500,6308,1240,0,18,0,18,0,18,109,112,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,21,36,0,18,0,18,88,136,107,87,0,18,0,18,123,117,0,18,0,18,0,18,0,18,54,50,0,18,0,18,55,48,49,43,158,87,0,18,154,124,0,18,477,321,19,31,641,278,0,18,0,18,0,18,33,37,0,18,11,20,628,245,81,97,1297,457,53,83,19,30,0,18,0,18,0,18,0,18,37,63,0,18,0,18,361,338,75,77,37,31,104,62,25,36,54,66,55,54,0,18,0,18,0,18,0,18,0,18,89,120,0,18,0,18,4,14,0,18,0,18,0,18,0,18,0,18,0,18,85,120,0,18,0,18,0,18,0,18,0,18,41,67,27,35,0,18,55,42,75,77,26,40,0,18,0,18,0,18,0,18,0,18,0,18,26,40,0,18,0,18,0,18,0,18,0,18,0,18,1724,890,1308,544,6308,1240,5679,1295,629,274,53,77,50,62,0,18,48,71,1,3,0,18,0,18,0,18,0,18,0,18,1,3,0,18,168,124,0,18,0,18,89,87,49,76,0,18,0,18,0,18,30,47,0,18,0,18,309,217,68,98,214,226,0,18,27,54,262,169,38,60,0,18,0,18,0,18,0,18,54,85,65,82,0,18,0,18,0,18,28,37,0,18,0,18,0,18,0,18,0,18,21,26,0,18,56,83,0,18,0,18,0,18,0,18,0,18
