cd,adj_pop,adj_O18_pop,pop,pop_u18,hisp,white,black,asian,other_race,multiracial,lar_grp1,lar_grp2,lar_grp3,lar_pop1,lar_pop2,lar_pop3,dem,rep,con,wor,oth,blank,total,adams,sliwa,mayor_votes,prim_adams,prim_wiley,prim_garcia,prim_yang,prim_stringer,prim_morales,prim_mcguire,prim_donovan,prim_votes,hochul,zeldin,gov_votes,voters_nov22,tot_pov_pop,below_pov_pop,pct_pov
36,170261.0,140370.0,162627,28672,30793,35363,78703,7580,1938,8250,Puerto Rican,Dominican,American,10291,8449,6836,81783.0,2452.0,143.0,747.0,1542.0,13582.0,100249.0,19724.0,1023.0,23251.0,10416.0,9882.0,2300.0,906.0,568.0,824.0,376.0,298.0,26286.0,35022.0,2060.0,37521.0,104989.0,166705,35947,21.6
39,174708.0,134785.0,171461,39605,25494,102522,10187,22334,2048,8876,Irish,Italian,German,16752,16691,14352,80690.0,6269.0,244.0,456.0,1598.0,15730.0,104987.0,30116.0,4107.0,38295.0,4329.0,13812.0,15234.0,2697.0,1884.0,971.0,508.0,526.0,40700.0,52122.0,8344.0,61210.0,108223.0,178208,18480,10.4
7,176905.0,152716.0,174892,23736,59678,62035,26747,17779,1968,6685,Dominican,Puerto Rican,Irish,32468,10163,9551,82031.0,3967.0,148.0,317.0,1659.0,15200.0,103322.0,25695.0,2623.0,31462.0,5830.0,7822.0,9568.0,2065.0,2713.0,1010.0,1022.0,688.0,31406.0,40344.0,4831.0,45971.0,107632.0,170884,34090,19.9
9,176831.0,144269.0,171591,31610,44892,26471,84087,6990,1880,7271,Dominican,Puerto Rican,American,18795,11148,8488,83071.0,2894.0,173.0,414.0,1843.0,14253.0,102648.0,24594.0,1569.0,28954.0,10699.0,8139.0,3300.0,1235.0,1231.0,725.0,1011.0,587.0,27622.0,36845.0,2810.0,40181.0,107899.0,174282,40339,23.1
31,169778.0,129810.0,174281,41181,31819,18370,107967,4474,3670,7981,W Indians Jamaican,Puerto Rican,W Indians Haitian,23207,9127,8609,67131.0,4625.0,236.0,288.0,1571.0,13347.0,87198.0,17990.0,2386.0,21012.0,11632.0,2740.0,581.0,857.0,536.0,222.0,569.0,436.0,17870.0,24945.0,5645.0,30889.0,89346.0,182753,25864,14.2
42,168746.0,129937.0,162738,38425,38334,5075,102134,6832,2309,8054,Puerto Rican,W Indians Jamaican,Dominican,14799,11882,10845,72103.0,3294.0,169.0,420.0,1336.0,13655.0,90977.0,17095.0,1327.0,19022.0,12664.0,2181.0,394.0,654.0,504.0,290.0,390.0,296.0,17795.0,23682.0,2285.0,26357.0,95682.0,163728,40819,24.9
13,175210.0,138889.0,170092,34975,75453,53792,20552,14038,2382,3875,Puerto Rican,Italian,Dominican,35219,23936,21477,53544.0,12580.0,879.0,302.0,1964.0,17930.0,87199.0,9260.0,9468.0,19918.0,3708.0,2025.0,1789.0,1573.0,862.0,429.0,282.0,465.0,11538.0,17054.0,14828.0,32234.0,90807.0,162940,22350,13.7
19,170692.0,140177.0,174225,31027,33198,67084,2666,67357,1054,2866,"Chinese, Except Taiwanese",Italian,Korean,37649,24644,13824,44529.0,18274.0,684.0,202.0,2199.0,24267.0,90155.0,10344.0,16460.0,28415.0,2304.0,1411.0,3222.0,4118.0,1331.0,235.0,326.0,543.0,14022.0,17460.0,23236.0,41067.0,92369.0,172183,14598,8.5
20,172944.0,144989.0,167198,27153,25177,14395,4071,120660,948,1947,"Chinese, Except Taiwanese",Korean,Italian,75975,10966,5063,38455.0,7743.0,240.0,181.0,1080.0,20382.0,68081.0,6612.0,5962.0,13633.0,1781.0,925.0,1076.0,5371.0,525.0,248.0,135.0,250.0,10926.0,9817.0,9693.0,19879.0,67550.0,148845,27035,18.2
21,170397.0,129663.0,166888,39946,123767,6433,13215,19605,1909,1959,Ecuadorian,Mexican,Dominican,35594,27539,25755,38694.0,3749.0,153.0,205.0,872.0,12527.0,56200.0,6279.0,2007.0,8848.0,3091.0,1189.0,646.0,992.0,305.0,433.0,181.0,209.0,7389.0,9443.0,4084.0,13716.0,56453.0,156154,26584,17.0
23,169886.0,139812.0,172216,30408,24861,37428,18050,77271,7764,6842,Asian Indian,"Chinese, Except Taiwanese",Korean,27773,23144,9204,58968.0,12381.0,499.0,239.0,2094.0,24173.0,98354.0,13608.0,9598.0,24642.0,4608.0,2320.0,3045.0,3783.0,1655.0,449.0,492.0,790.0,17779.0,23159.0,15435.0,38952.0,101060.0,177735,15027,8.5
24,169157.0,134919.0,166913,33711,33550,47294,16990,59769,3382,5928,"Chinese, Except Taiwanese",Asian Indian,Bangladeshi,19335,10842,10601,51946.0,11011.0,303.0,218.0,1648.0,21162.0,86288.0,11098.0,6978.0,19189.0,4530.0,1912.0,1968.0,3674.0,1140.0,421.0,293.0,512.0,14937.0,17046.0,14373.0,31805.0,90341.0,164006,22152,13.5
27,169452.0,135210.0,167236,33876,28971,3177,100522,20664,5704,8198,W Indians Jamaican,W Indians Haitian,Guyanese,25126,12098,10645,76450.0,3281.0,209.0,316.0,1629.0,15181.0,97066.0,20304.0,1379.0,22304.0,13363.0,3359.0,592.0,919.0,740.0,335.0,681.0,544.0,20994.0,29635.0,2825.0,32770.0,97454.0,172210,16816,9.8
28,170068.0,136039.0,174453,35003,28596,5172,75126,29761,20137,15661,Asian Indian,Guyanese,W Indians Jamaican,27682,27187,10624,67375.0,4598.0,229.0,321.0,1488.0,16744.0,90755.0,14374.0,1880.0,16833.0,8957.0,2219.0,566.0,1117.0,574.0,258.0,526.0,528.0,15179.0,22560.0,4074.0,26857.0,92889.0,181895,19339,10.6
29,172422.0,140118.0,170529,31852,41705,53544,9614,47382,8960,9324,Asian Indian,"Chinese, Except Taiwanese",Italian,22442,14392,8673,53776.0,11066.0,328.0,235.0,1883.0,21753.0,89041.0,12819.0,7742.0,22115.0,3649.0,2737.0,4222.0,3442.0,1324.0,449.0,348.0,562.0,17273.0,22570.0,13422.0,36439.0,93841.0,173614,15017,8.6
30,169598.0,137957.0,170906,31975,52100,76613,3320,33813,1514,3546,Polish,Italian,"Chinese, Except Taiwanese",17704,16605,16451,42096.0,14852.0,607.0,324.0,2071.0,22667.0,82617.0,7093.0,12704.0,21156.0,1877.0,2034.0,2227.0,2552.0,739.0,377.0,410.0,408.0,11019.0,14054.0,17569.0,31928.0,82747.0,175209,17406,9.9
25,169541.0,138436.0,173204,31879,76616,19322,2574,69860,1869,2963,"Chinese, Except Taiwanese",Ecuadorian,Mexican,20028,18429,15690,49133.0,6886.0,223.0,230.0,1345.0,18804.0,76621.0,10751.0,4395.0,16712.0,2429.0,3215.0,2798.0,3156.0,880.0,720.0,1075.0,476.0,15373.0,17088.0,8093.0,25547.0,79544.0,161639,17419,10.8
18,175681.0,133975.0,178867,42872,94759,5438,46245,24767,3711,3947,Puerto Rican,Dominican,Asian Indian,41455,29604,7383,69162.0,4301.0,292.0,351.0,1513.0,15651.0,91270.0,10840.0,2347.0,13874.0,6965.0,2503.0,1128.0,1536.0,800.0,658.0,412.0,531.0,15157.0,19484.0,4453.0,24243.0,89817.0,166890,40308,24.2
15,173536.0,129432.0,172242,43862,112541,8504,43245,3199,2070,2683,Dominican,Puerto Rican,Mexican,56145,34033,12814,55658.0,3379.0,224.0,353.0,1161.0,12982.0,73757.0,7979.0,1495.0,10236.0,4318.0,1367.0,705.0,858.0,369.0,597.0,222.0,267.0,9208.0,12644.0,2946.0,15886.0,75580.0,170751,58451,34.2
