ed,cd
23001,32
23002,32
23003,32
23004,32
23005,32
23006,32
23007,32
23008,32
23009,32
23010,32
23011,32
23012,32
23013,32
23014,32
23015,32
23016,32
23017,32
23018,31
23019,31
23020,31
23021,31
23022,31
23023,31
23024,31
23025,31
23026,31
23027,31
23028,31
23029,31
23030,31
23031,31
23032,31
23033,32
23034,32
23035,32
23036,32
23037,32
23038,32
23039,28
23040,28
23041,32
23042,32
23043,32
23044,32
23045,32
23046,32
23047,32
23048,32
23049,32
23050,32
23051,32
23052,32
23053,32
23054,32
23055,32
23056,32
23057,32
23058,32
23059,32
23060,32
23061,32
23062,32
23063,31
23064,32
23065,31
23066,31
23067,31
23068,31
23069,32
23070,32
23073,31
24001,28
24002,28
24003,28
24004,28
24005,28
24006,29
24007,28
24008,29
24009,28
24010,28
24011,29
24012,29
24013,29
24014,29
24015,29
24016,29
24017,24
24018,29
24019,29
24020,29
24021,29
24022,23
24023,24
24024,29
24025,29
24026,29
24027,24
24028,29
24029,29
24030,24
24031,29
24032,29
24033,23
24034,24
24035,24
24036,24
24037,24
24038,24
24039,24
24040,24
24041,24
24042,24
24043,24
24044,24
24045,24
24046,24
24047,24
24048,24
24049,24
24052,23
24053,23
24054,23
24055,23
24056,23
24057,23
24059,23
24060,23
24061,23
24062,23
24063,23
24064,23
24065,24
24066,28
24067,24
25001,24
25002,24
25003,24
25004,24
25005,24
25006,24
25007,24
25008,24
25009,24
25010,24
25011,24
25012,24
25013,24
25014,24
25015,24
25016,24
25017,23
25018,23
25019,23
25020,23
25021,23
25022,23
25023,23
25024,23
25025,23
25026,23
25027,19
25028,19
25029,20
25030,20
25031,20
25032,20
25033,20
25034,20
25035,20
25036,19
25037,20
25038,20
25039,20
25040,20
25041,20
25042,20
25043,20
25044,20
25045,20
25046,20
25047,20
25048,24
26001,23
26002,23
26003,23
26004,23
26005,23
26006,23
26007,23
26008,23
26009,23
26010,23
26011,23
26012,23
26013,23
26014,23
26015,23
26016,23
26017,23
26018,23
26019,23
26020,23
26021,19
26022,19
26023,19
26024,19
26025,19
26026,19
26027,19
26028,23
26029,23
26030,23
26031,19
26032,19
26033,19
26035,19
26038,19
26039,19
26040,19
26041,19
26042,19
26043,19
26044,19
26045,19
26046,19
26047,19
26048,19
26049,19
26050,19
26051,19
26052,19
26053,19
26054,19
26055,19
26056,19
26057,19
26058,20
26059,19
26060,19
26061,19
26062,19
26063,19
26064,19
26065,23
27001,29
27002,24
27003,29
27004,29
27005,29
27006,29
27007,29
27008,24
27009,24
27010,24
27011,24
27012,24
27013,24
27014,24
27015,24
27016,24
27017,24
27018,24
27019,20
27020,24
27021,24
27022,24
27023,24
27024,24
27025,24
27026,24
27027,24
27028,24
27029,24
27030,24
27031,29
27032,19
27033,19
27034,19
27035,19
27036,19
27037,19
27038,19
27039,19
27040,24
27041,19
27042,19
27043,19
27044,19
27045,19
27046,19
27047,24
27048,19
27049,19
27050,19
27051,19
27052,19
27053,29
27054,21
27055,29
27056,29
27057,24
27058,21
27059,24
27060,21
27061,21
27062,20
27063,20
27066,19
27067,21
28001,29
28002,29
28003,29
28004,29
28005,30
28006,29
28007,29
28008,29
28009,29
28010,29
28011,32
28012,32
28013,32
28014,30
28015,30
28016,30
28017,32
28018,30
28019,30
28020,30
28021,30
28022,30
28023,30
28024,30
28025,30
28026,30
28027,32
28028,29
28029,29
28030,29
28031,29
28032,29
28033,29
28034,29
28035,29
28036,29
28037,29
28038,29
28039,29
28040,29
28041,29
28042,29
28043,29
28044,29
28045,24
28046,30
28047,29
28048,30
28049,29
28050,29
28051,29
28052,29
28053,29
28054,29
28055,29
28056,29
28057,29
28058,30
28059,30
28060,30
28061,30
28062,30
28063,30
28064,30
28065,29
28066,32
28067,30
28068,30
28069,29
28070,29
28071,29
28072,29
28073,29
28074,29
28075,30
28076,30
28077,32
28078,29
29001,31
29002,31
29003,31
29004,31
29005,31
29006,31
29007,31
29008,31
29009,31
29010,31
29011,31
29012,31
29013,31
29014,31
29015,31
29016,27
29017,31
29018,31
29019,31
29020,31
29021,31
29022,31
29023,31
29024,31
29025,27
29026,27
29027,27
29028,27
29029,27
29030,27
29031,27
29032,27
29033,28
29034,27
29035,27
29036,27
29037,27
29038,27
29039,27
29040,27
29041,27
29042,27
29043,27
29044,27
29045,27
29046,27
29047,23
29048,23
29049,27
29050,24
29051,24
29052,24
29053,24
29054,23
29055,23
29056,27
29057,27
29058,23
29059,23
29060,23
29061,31
29062,31
29063,27
29064,31
29065,27
29066,24
30001,30
30002,30
30003,30
30005,30
30006,30
30008,30
30009,30
30010,30
30011,26
30012,26
30013,26
30014,25
30015,25
30018,26
30019,30
30020,26
30021,26
30022,26
30023,26
30024,26
30025,26
30026,30
30027,30
30028,30
30031,30
30032,30
30033,30
30034,30
30035,25
30036,25
30037,25
30038,25
30039,25
30040,25
30041,25
30042,25
30043,25
30044,26
30045,25
30046,25
30047,25
30048,25
30049,22
30050,22
30051,22
30052,25
30053,25
30054,26
30055,26
30056,26
30057,26
30058,26
30059,26
30060,25
30061,25
30062,30
30063,25
30064,26
30065,26
30066,26
30067,25
30068,26
30069,22
31001,31
31002,31
31003,31
31004,31
31005,31
31006,31
31007,31
31008,31
31009,31
31010,31
31011,31
31012,31
31013,31
31014,31
31015,31
31016,31
31017,32
31018,31
31019,32
31020,31
31021,28
31023,31
31024,31
31025,31
31027,31
31028,31
31029,31
31030,31
31031,31
31032,31
31033,28
31034,31
31035,31
31036,31
31037,28
31038,28
31039,28
31040,28
31041,28
31042,28
31043,28
31044,28
31045,28
31046,28
31047,28
31048,28
31049,28
31050,28
31051,28
31052,28
31053,28
31054,28
31055,28
31056,28
31057,29
31058,28
31059,28
31060,28
31061,28
31062,28
31063,31
31065,31
31066,31
32001,24
32002,27
32003,27
32004,24
32005,27
32006,24
32007,27
32008,24
32009,27
32010,27
32011,24
32012,27
32013,27
32014,27
32015,27
32016,29
32017,28
32018,28
32019,28
32020,28
32021,28
32022,28
32023,28
32024,28
32025,28
32026,28
32027,28
32028,28
32029,28
32030,28
32031,28
32032,28
32033,28
32034,28
32035,28
32036,28
32037,27
32038,27
32039,28
32040,28
32041,28
32042,28
32043,28
32044,27
32045,28
32046,28
32047,28
32048,27
32049,27
32050,28
32051,28
32052,28
32053,28
32054,28
32055,28
32056,28
32057,28
32058,28
32059,28
32060,28
32061,28
32062,28
32064,28
32065,28
32067,28
32068,28
32069,27
32070,28
32071,29
33001,23
33002,23
33003,23
33004,23
33005,23
33006,23
33007,23
33008,23
33009,23
33010,23
33012,23
33013,23
33014,23
33015,23
33016,23
33017,23
33018,23
33019,23
33020,23
33021,23
33022,23
33023,23
33024,23
33025,23
33026,27
33027,27
33028,27
33029,27
33030,27
33031,27
33032,27
33033,27
33034,27
33035,27
33036,27
33037,27
33038,27
33039,27
33040,27
33041,27
33042,27
33043,27
33044,27
33045,27
33046,27
33047,27
33048,27
33049,27
33050,27
33051,27
33052,27
33053,27
33054,27
33055,27
33056,27
33057,27
33058,27
33059,27
33060,27
33061,27
33062,27
33063,27
33064,27
33065,27
33066,27
34001,22
34002,21
34003,22
34004,22
34005,22
34006,22
34007,22
34008,22
34009,22
34010,21
34011,22
34012,22
34013,22
34014,22
34015,22
34016,22
34017,22
34018,22
34019,22
34020,22
34021,26
34022,26
34023,22
34024,22
34025,22
34026,22
34027,22
34028,22
34031,25
34032,25
34033,22
34034,25
34035,21
34036,25
34037,25
34038,25
34039,25
34040,25
34041,25
34042,25
34043,25
34044,25
34045,25
34046,25
34047,25
34048,25
34049,25
34050,21
34051,25
34052,21
34053,25
34054,21
34055,21
34056,21
34057,21
34058,21
34059,21
34060,22
35001,22
35003,22
35005,21
35006,21
35007,21
35008,21
35009,24
35010,21
35011,21
35012,21
35013,21
35014,21
35015,21
35016,21
35017,21
35018,21
35019,21
35020,21
35021,21
35022,21
35023,21
35024,21
35025,21
35026,21
35027,25
35028,24
35029,25
35030,25
35031,24
35032,21
35033,21
35034,21
35035,21
35036,21
35037,24
35038,24
35039,24
35040,24
35041,29
35042,29
35043,24
35044,24
35045,24
35046,24
35048,21
35049,24
35050,24
35051,24
35052,22
35053,22
35056,21
35057,22
35058,22
35060,21
35061,21
35062,21
36001,22
36002,22
36003,22
36004,22
36005,22
36006,22
36007,22
36008,22
36009,22
36010,22
36011,22
36012,22
36013,22
36014,22
36015,22
36016,22
36017,22
36018,22
36019,22
36020,22
36021,22
36022,22
36023,22
36024,22
36025,22
36026,22
36027,22
36028,22
36029,26
36030,26
36031,22
36032,26
36033,22
36034,26
36035,26
36036,26
36037,26
36038,26
36039,26
36040,26
36041,26
36042,26
36043,26
36044,22
36045,22
