ed,cd
31028,28
31029,31
31030,32
31031,32
31032,31
31033,31
31034,31
31036,31
31038,31
31039,31
31040,31
31041,31
31042,31
31043,31
31044,31
31045,31
31046,31
31047,31
31048,31
31049,31
31050,31
31051,31
31052,31
31053,31
31054,31
31055,31
31056,31
31057,31
31058,31
31059,31
31060,31
31061,31
31062,31
31063,31
31064,31
31065,31
31066,28
31067,31
31068,31
31069,31
31070,31
31071,32
31072,31
31073,31
31076,31
31077,28
31078,28
31079,31
31081,28
31082,28
31083,31
31084,31
31085,31
31086,31
32001,24
32002,24
32003,27
32004,27
32005,27
32006,27
32007,27
32008,27
32009,24
32010,24
32011,24
32012,27
32014,27
32015,28
32016,28
32017,28
32019,29
32020,29
32021,28
32022,28
32023,28
32024,28
32025,28
32026,28
32027,28
32028,28
32029,28
32030,28
32031,28
32032,28
32033,28
32034,28
32035,28
32036,28
32037,28
32038,28
32039,28
32040,27
32041,27
32042,28
32043,28
32044,28
32045,28
32046,28
32047,28
32048,28
32050,28
32051,28
32052,28
32053,28
32055,28
32057,28
32058,28
32059,28
32060,28
32061,31
32062,28
32063,28
32064,28
32065,28
32066,28
32067,28
32068,28
32069,28
32070,28
32071,28
32072,27
32073,27
32074,27
32076,28
32077,28
32078,28
32079,27
32080,27
32081,28
32082,28
32083,28
32084,28
33001,23
33002,23
33003,23
33004,23
33005,23
33006,23
33007,23
33008,23
33009,23
33010,23
33011,23
33012,23
33013,23
33014,23
33015,23
33016,23
33017,23
33018,23
33019,23
33020,23
33021,23
33022,23
33023,23
33024,23
33025,23
33026,23
33027,23
33028,23
33029,27
33031,27
33032,27
33033,27
33034,27
33035,27
33036,27
33037,27
33038,27
33039,27
33040,27
33041,27
33042,27
33043,27
33044,27
33045,27
33046,27
33047,27
33048,27
33049,27
33050,27
33052,27
33053,27
33055,27
33056,27
33057,27
33058,27
33059,27
33060,27
33061,27
33062,27
33063,27
33064,27
33065,27
33066,27
33067,27
33068,27
33071,27
33072,27
33073,27
33074,23
33075,23
33076,23
33077,27
33078,27
33079,27
34001,21
34002,21
34003,21
34004,21
34005,21
34006,25
34007,21
34008,25
34009,21
34010,22
34011,25
34012,21
34013,25
34014,25
34015,25
34016,25
34017,25
34018,25
34019,25
34020,25
34021,25
34022,25
34023,25
34024,25
34025,25
34026,25
34027,25
34028,25
34029,25
34030,25
34031,25
34032,25
34033,25
34034,21
34035,25
34036,25
34037,25
34038,25
34039,25
34040,22
34041,25
34042,25
34043,25
34044,25
34045,25
34046,26
34047,26
34048,25
34049,26
34050,26
34051,26
34052,26
