ed,cd,dem,rep,con,wor,oth,blank,total
24029,29,896.0,114.0,4.0,6.0,26.0,342.0,1388.0
24030,24,563.0,121.0,4.0,0.0,18.0,233.0,939.0
24031,29,942.0,161.0,8.0,5.0,24.0,330.0,1470.0
24032,29,972.0,111.0,8.0,6.0,18.0,328.0,1443.0
24033,23,14.0,12.0,0.0,0.0,3.0,11.0,40.0
24034,24,81.0,6.0,2.0,0.0,0.0,20.0,109.0
24035,24,383.0,61.0,1.0,1.0,11.0,173.0,630.0
24036,24,1102.0,163.0,5.0,7.0,29.0,409.0,1715.0
24037,24,557.0,54.0,1.0,2.0,18.0,231.0,863.0
24038,24,1057.0,124.0,0.0,2.0,28.0,382.0,1593.0
24039,24,728.0,159.0,1.0,4.0,23.0,356.0,1271.0
24040,24,465.0,83.0,1.0,1.0,17.0,181.0,748.0
24041,24,617.0,88.0,4.0,4.0,13.0,218.0,944.0
24042,24,391.0,39.0,1.0,1.0,10.0,132.0,574.0
24043,24,922.0,128.0,3.0,8.0,16.0,361.0,1438.0
24044,24,576.0,40.0,0.0,0.0,5.0,137.0,758.0
24045,24,144.0,28.0,0.0,0.0,4.0,59.0,235.0
24046,24,1171.0,187.0,5.0,7.0,36.0,340.0,1746.0
24047,24,934.0,142.0,4.0,5.0,32.0,333.0,1450.0
24048,24,301.0,68.0,2.0,0.0,12.0,123.0,506.0
24049,24,731.0,518.0,15.0,4.0,39.0,459.0,1766.0
24052,23,1130.0,161.0,4.0,4.0,34.0,339.0,1672.0
24053,23,1332.0,70.0,1.0,1.0,28.0,267.0,1699.0
24054,23,204.0,22.0,2.0,0.0,8.0,61.0,297.0
24055,23,691.0,88.0,7.0,3.0,27.0,221.0,1037.0
24056,23,801.0,142.0,11.0,1.0,33.0,260.0,1248.0
24057,23,639.0,113.0,7.0,3.0,25.0,239.0,1026.0
24059,23,624.0,208.0,4.0,2.0,28.0,289.0,1155.0
24060,23,956.0,292.0,14.0,1.0,40.0,414.0,1717.0
24061,23,927.0,218.0,9.0,2.0,30.0,416.0,1602.0
24062,23,890.0,248.0,9.0,4.0,44.0,366.0,1561.0
24063,23,398.0,112.0,2.0,2.0,23.0,151.0,688.0
24064,23,781.0,214.0,6.0,5.0,31.0,439.0,1476.0
24065,24,1102.0,118.0,5.0,3.0,27.0,318.0,1573.0
24066,28,266.0,33.0,1.0,2.0,6.0,105.0,413.0
24067,24,,,,,,,
25001,24,1079.0,178.0,6.0,3.0,39.0,400.0,1705.0
25002,24,958.0,132.0,6.0,4.0,35.0,295.0,1430.0
25003,24,190.0,100.0,1.0,0.0,9.0,118.0,418.0
25004,24,428.0,95.0,1.0,2.0,25.0,183.0,734.0
25005,24,935.0,170.0,3.0,3.0,33.0,340.0,1484.0
25006,24,586.0,178.0,7.0,5.0,34.0,292.0,1102.0
25007,24,97.0,35.0,0.0,0.0,1.0,44.0,177.0
25008,24,74.0,21.0,0.0,0.0,4.0,37.0,136.0
25009,24,813.0,241.0,5.0,4.0,35.0,447.0,1545.0
25010,24,32.0,16.0,1.0,0.0,2.0,8.0,59.0
25011,24,557.0,257.0,2.0,4.0,18.0,322.0,1160.0
25012,24,704.0,311.0,21.0,4.0,34.0,482.0,1556.0
25013,24,785.0,275.0,10.0,3.0,38.0,506.0,1617.0
25014,24,872.0,225.0,2.0,2.0,15.0,500.0,1616.0
25015,24,624.0,199.0,2.0,2.0,20.0,426.0,1273.0
25016,24,735.0,224.0,4.0,1.0,16.0,377.0,1357.0
25017,23,789.0,255.0,4.0,7.0,44.0,443.0,1542.0
25018,23,825.0,176.0,11.0,3.0,28.0,399.0,1442.0
25019,23,940.0,140.0,11.0,8.0,17.0,356.0,1472.0
25020,23,911.0,150.0,7.0,7.0,17.0,337.0,1429.0
25021,23,441.0,85.0,8.0,5.0,17.0,187.0,743.0
25022,23,1085.0,212.0,6.0,6.0,44.0,486.0,1839.0
25023,23,465.0,154.0,3.0,3.0,17.0,274.0,916.0
25024,23,559.0,148.0,10.0,3.0,21.0,330.0,1071.0
25025,23,808.0,262.0,9.0,4.0,17.0,482.0,1582.0
25026,23,798.0,285.0,6.0,2.0,46.0,474.0,1611.0
25027,19,991.0,223.0,10.0,4.0,39.0,468.0,1735.0
25028,19,729.0,157.0,8.0,3.0,26.0,337.0,1260.0
25029,20,818.0,243.0,9.0,3.0,26.0,462.0,1561.0
25030,20,742.0,254.0,11.0,6.0,37.0,447.0,1497.0
25031,20,769.0,173.0,6.0,5.0,29.0,459.0,1441.0
25032,20,638.0,161.0,8.0,4.0,14.0,406.0,1231.0
25033,20,699.0,295.0,13.0,3.0,41.0,398.0,1449.0
25034,20,770.0,261.0,15.0,3.0,27.0,422.0,1498.0
25035,20,811.0,171.0,4.0,5.0,31.0,491.0,1513.0
25036,19,645.0,198.0,7.0,4.0,28.0,344.0,1226.0
25037,20,847.0,154.0,2.0,2.0,30.0,505.0,1540.0
25038,20,748.0,190.0,3.0,5.0,20.0,462.0,1428.0
25039,20,817.0,184.0,8.0,3.0,34.0,511.0,1557.0
25040,20,865.0,183.0,4.0,10.0,25.0,520.0,1607.0
25041,20,711.0,128.0,1.0,2.0,17.0,380.0,1239.0
25042,20,872.0,164.0,2.0,6.0,20.0,467.0,1531.0
25043,20,944.0,149.0,2.0,2.0,19.0,420.0,1536.0
25044,20,912.0,130.0,3.0,4.0,22.0,357.0,1428.0
25045,20,841.0,215.0,7.0,3.0,21.0,473.0,1560.0
25046,20,774.0,159.0,6.0,7.0,14.0,432.0,1392.0
25047,20,452.0,68.0,2.0,1.0,10.0,285.0,818.0
25048,24,,,,,,,
26001,23,387.0,61.0,2.0,0.0,6.0,173.0,629.0
26002,23,247.0,38.0,3.0,1.0,9.0,99.0,397.0
26003,23,211.0,24.0,1.0,1.0,10.0,87.0,334.0
26004,23,219.0,47.0,1.0,1.0,10.0,91.0,369.0
26005,23,40.0,13.0,1.0,0.0,1.0,13.0,68.0
26006,23,722.0,189.0,2.0,1.0,23.0,467.0,1404.0
26007,23,915.0,191.0,8.0,1.0,30.0,329.0,1474.0
26008,23,869.0,287.0,10.0,5.0,35.0,373.0,1579.0
26009,23,523.0,80.0,5.0,3.0,21.0,191.0,823.0
26010,23,836.0,159.0,4.0,1.0,38.0,175.0,1213.0
26011,23,420.0,86.0,4.0,0.0,20.0,111.0,641.0
26012,23,947.0,294.0,14.0,5.0,44.0,368.0,1672.0
26013,23,928.0,280.0,6.0,6.0,26.0,419.0,1665.0
26014,23,942.0,251.0,7.0,3.0,26.0,370.0,1599.0
26015,23,1075.0,212.0,10.0,5.0,41.0,403.0,1746.0
26016,23,878.0,264.0,14.0,2.0,30.0,501.0,1689.0
26017,23,851.0,268.0,15.0,1.0,36.0,397.0,1568.0
26018,23,710.0,195.0,4.0,3.0,35.0,421.0,1368.0
26019,23,337.0,147.0,5.0,0.0,22.0,221.0,732.0
26020,23,932.0,292.0,7.0,3.0,40.0,431.0,1705.0
26021,19,746.0,383.0,13.0,1.0,45.0,487.0,1675.0
26022,19,758.0,418.0,9.0,2.0,52.0,418.0,1657.0
26023,19,791.0,260.0,11.0,3.0,39.0,448.0,1552.0
26024,19,744.0,345.0,11.0,0.0,53.0,329.0,1482.0
26025,19,597.0,187.0,4.0,1.0,15.0,304.0,1108.0
26026,19,492.0,285.0,5.0,4.0,30.0,249.0,1065.0
26027,19,65.0,25.0,0.0,0.0,2.0,27.0,119.0
26028,23,767.0,212.0,10.0,5.0,34.0,466.0,1494.0
26029,23,566.0,184.0,4.0,0.0,27.0,398.0,1179.0
26030,23,11.0,4.0,0.0,0.0,1.0,7.0,23.0
26031,19,832.0,266.0,6.0,2.0,40.0,462.0,1608.0
26032,19,768.0,240.0,15.0,4.0,43.0,388.0,1458.0
26033,19,760.0,326.0,13.0,3.0,45.0,421.0,1568.0
26035,19,485.0,217.0,4.0,2.0,30.0,264.0,1002.0
26038,19,1184.0,343.0,15.0,2.0,49.0,436.0,2029.0
26039,19,541.0,136.0,6.0,3.0,19.0,264.0,969.0
26040,19,495.0,191.0,3.0,5.0,26.0,231.0,951.0
26041,19,680.0,163.0,8.0,2.0,34.0,227.0,1114.0
26042,19,679.0,223.0,2.0,4.0,28.0,264.0,1200.0
26043,19,795.0,240.0,8.0,4.0,37.0,280.0,1364.0
26044,19,662.0,251.0,12.0,1.0,34.0,269.0,1229.0
26045,19,731.0,371.0,8.0,4.0,60.0,308.0,1482.0
26046,19,520.0,225.0,14.0,2.0,31.0,230.0,1022.0
26047,19,43.0,14.0,0.0,0.0,1.0,25.0,83.0
26048,19,622.0,254.0,8.0,2.0,28.0,327.0,1241.0
26049,19,501.0,215.0,5.0,4.0,28.0,258.0,1011.0
26050,19,677.0,458.0,17.0,1.0,43.0,426.0,1622.0
26051,19,423.0,147.0,7.0,4.0,20.0,245.0,846.0
26052,19,523.0,262.0,14.0,1.0,31.0,320.0,1151.0
26053,19,697.0,246.0,19.0,1.0,33.0,414.0,1410.0
26054,19,840.0,260.0,8.0,2.0,39.0,423.0,1572.0
26055,19,769.0,351.0,19.0,2.0,42.0,402.0,1585.0
26056,19,740.0,293.0,15.0,2.0,38.0,404.0,1492.0
26057,19,863.0,261.0,9.0,2.0,32.0,452.0,1619.0
26058,20,306.0,67.0,2.0,4.0,11.0,180.0,570.0
26059,19,832.0,247.0,13.0,3.0,31.0,384.0,1510.0
26060,19,702.0,196.0,4.0,3.0,18.0,372.0,1295.0
26061,19,856.0,258.0,12.0,9.0,31.0,451.0,1617.0
26062,19,701.0,251.0,11.0,0.0,28.0,370.0,1361.0
26063,19,,,,,,,
26064,19,,,,,,,
26065,23,,,,,,,
27001,29,196.0,30.0,0.0,1.0,8.0,60.0,295.0
27002,24,1008.0,142.0,14.0,3.0,52.0,392.0,1611.0
27003,29,855.0,192.0,6.0,4.0,27.0,340.0,1424.0
27004,29,573.0,97.0,5.0,2.0,17.0,229.0,923.0
27005,29,361.0,58.0,2.0,0.0,10.0,136.0,567.0
27006,29,590.0,102.0,2.0,2.0,13.0,241.0,950.0
27007,29,160.0,98.0,1.0,0.0,7.0,99.0,365.0
27008,24,415.0,66.0,2.0,2.0,23.0,210.0,718.0
27009,24,523.0,210.0,2.0,3.0,22.0,307.0,1067.0
27010,24,400.0,68.0,2.0,1.0,13.0,174.0,658.0
27011,24,340.0,49.0,2.0,5.0,12.0,137.0,545.0
27012,24,1137.0,138.0,2.0,5.0,32.0,342.0,1656.0
27013,24,790.0,169.0,8.0,1.0,25.0,428.0,1421.0
27014,24,1056.0,117.0,7.0,4.0,26.0,257.0,1467.0
27015,24,1141.0,144.0,7.0,10.0,42.0,341.0,1685.0
