county,elect_dist,status,dem,rep,con,wor,oth,blank,total
Kings,50037,Total,1481.0,142.0,4.0,1.0,13.0,178.0,1819.0
Kings,50038,Total,1121.0,64.0,6.0,6.0,20.0,158.0,1375.0
Kings,50039,Total,809.0,89.0,2.0,0.0,6.0,110.0,1016.0
Kings,50040,Total,1119.0,116.0,5.0,6.0,11.0,157.0,1414.0
Kings,50041,Total,1127.0,86.0,2.0,0.0,7.0,172.0,1394.0
Kings,50042,Total,1041.0,109.0,1.0,0.0,6.0,169.0,1326.0
Kings,50043,Total,881.0,100.0,4.0,0.0,2.0,142.0,1129.0
Kings,50044,Total,1045.0,151.0,5.0,1.0,5.0,148.0,1355.0
Kings,50045,Total,1088.0,156.0,3.0,2.0,5.0,136.0,1390.0
Kings,50046,Total,1151.0,144.0,2.0,1.0,11.0,173.0,1482.0
Kings,50047,Total,1013.0,111.0,1.0,0.0,3.0,146.0,1274.0
Kings,50048,Total,1002.0,107.0,2.0,0.0,4.0,107.0,1222.0
Kings,50049,Total,827.0,92.0,1.0,0.0,6.0,90.0,1016.0
Kings,50050,Total,1117.0,81.0,2.0,4.0,28.0,290.0,1522.0
Kings,50051,Total,1015.0,50.0,3.0,7.0,22.0,281.0,1378.0
Kings,50052,Total,1149.0,72.0,5.0,6.0,32.0,271.0,1535.0
Kings,50053,Total,919.0,69.0,3.0,3.0,25.0,287.0,1306.0
Kings,50054,Total,606.0,30.0,1.0,3.0,11.0,155.0,806.0
Kings,50055,Total,378.0,26.0,0.0,1.0,10.0,113.0,528.0
Kings,50056,Total,1202.0,71.0,2.0,8.0,36.0,292.0,1611.0
Kings,50057,Total,1230.0,86.0,4.0,6.0,48.0,292.0,1666.0
Kings,50058,Total,1070.0,92.0,1.0,5.0,27.0,254.0,1449.0
Kings,50059,Total,1045.0,101.0,4.0,6.0,32.0,291.0,1479.0
Kings,50060,Total,869.0,109.0,4.0,4.0,31.0,214.0,1231.0
Kings,50061,Total,1146.0,76.0,7.0,6.0,31.0,268.0,1534.0
Kings,50062,Total,912.0,88.0,3.0,10.0,23.0,228.0,1264.0
Kings,50063,Total,974.0,94.0,3.0,8.0,29.0,286.0,1394.0
Kings,50064,Total,12.0,0.0,0.0,0.0,0.0,2.0,14.0
Kings,50065,Total,620.0,39.0,1.0,1.0,9.0,167.0,837.0
Kings,51001,Total,1218.0,274.0,23.0,4.0,66.0,493.0,2078.0
Kings,51002,Total,678.0,117.0,0.0,5.0,16.0,290.0,1106.0
Kings,51003,Total,305.0,136.0,4.0,2.0,17.0,121.0,585.0
Kings,51004,Total,290.0,122.0,5.0,1.0,7.0,168.0,593.0
Kings,51005,Total,521.0,78.0,3.0,7.0,20.0,204.0,833.0
Kings,51006,Total,947.0,94.0,8.0,5.0,22.0,318.0,1394.0
Kings,51007,Total,1123.0,127.0,7.0,6.0,29.0,393.0,1685.0
Kings,51008,Total,1121.0,125.0,5.0,12.0,30.0,393.0,1686.0
Kings,51009,Total,862.0,114.0,5.0,6.0,16.0,423.0,1426.0
Kings,51010,Total,578.0,89.0,6.0,6.0,12.0,325.0,1016.0
Kings,51011,Total,1008.0,99.0,1.0,4.0,29.0,364.0,1505.0
Kings,51012,Total,821.0,89.0,6.0,2.0,17.0,388.0,1323.0
Kings,51013,Total,1027.0,108.0,0.0,11.0,22.0,279.0,1447.0
Kings,51014,Total,1003.0,98.0,9.0,0.0,22.0,290.0,1422.0
Kings,51015,Total,1058.0,116.0,4.0,8.0,25.0,334.0,1545.0
Kings,51016,Total,1165.0,120.0,5.0,8.0,19.0,393.0,1710.0
Kings,51017,Total,1011.0,104.0,2.0,4.0,25.0,288.0,1434.0
Kings,51018,Total,1134.0,99.0,3.0,7.0,25.0,268.0,1536.0
Kings,51019,Total,1163.0,104.0,7.0,8.0,19.0,336.0,1637.0
Kings,51020,Total,988.0,89.0,6.0,6.0,23.0,242.0,1354.0
Kings,51021,Total,1288.0,109.0,5.0,8.0,33.0,340.0,1783.0
Kings,51022,Total,1319.0,108.0,4.0,6.0,31.0,353.0,1821.0
Kings,51023,Total,939.0,49.0,3.0,5.0,16.0,204.0,1216.0
Kings,51024,Total,1101.0,77.0,1.0,9.0,39.0,266.0,1493.0
Kings,51025,Total,725.0,32.0,2.0,6.0,25.0,134.0,924.0
Kings,51026,Total,1114.0,46.0,3.0,7.0,29.0,252.0,1451.0
Kings,51027,Total,317.0,22.0,0.0,1.0,16.0,80.0,436.0
Kings,51028,Total,1486.0,86.0,4.0,5.0,37.0,332.0,1950.0
Kings,51029,Total,892.0,65.0,2.0,2.0,31.0,186.0,1178.0
Kings,51030,Total,260.0,13.0,2.0,2.0,4.0,61.0,342.0
Kings,51031,Total,81.0,1.0,0.0,0.0,1.0,25.0,108.0
Kings,51032,Total,217.0,11.0,1.0,1.0,3.0,49.0,282.0
Kings,51033,Total,898.0,34.0,1.0,10.0,26.0,181.0,1150.0
Kings,51034,Total,1072.0,74.0,1.0,8.0,25.0,213.0,1393.0
Kings,51035,Total,910.0,44.0,1.0,8.0,14.0,184.0,1161.0
Kings,51036,Total,1012.0,60.0,2.0,7.0,32.0,237.0,1350.0
Kings,51037,Total,963.0,47.0,1.0,12.0,18.0,238.0,1279.0
Kings,51038,Total,876.0,43.0,1.0,11.0,9.0,184.0,1124.0
Kings,51039,Total,13.0,0.0,0.0,0.0,1.0,1.0,15.0
Kings,51040,Total,1020.0,59.0,2.0,11.0,28.0,212.0,1332.0
Kings,51041,Total,905.0,55.0,3.0,6.0,26.0,187.0,1182.0
Kings,51042,Total,1167.0,80.0,5.0,5.0,27.0,226.0,1510.0
